time,value,n
2007-01-07,0,1
2007-01-14,0,1
2007-01-21,0,1
2007-01-28,0,1
2007-02-04,0,1
2007-02-11,0,1
2007-02-18,0,1
2007-02-25,0,1
2007-03-04,0,1
2007-03-11,0,1
2007-03-18,0,1
2007-03-25,41,2
2007-04-01,0,2
2007-04-08,0,2
2007-04-15,0,2
2007-04-22,0,2
2007-04-29,0,2
2007-05-06,0,2
2007-05-13,91,2
2007-05-20,0,2
2007-05-27,0,2
2007-06-03,0,2
2007-06-10,0,3
2007-06-17,0,3
2007-06-24,0,3
2007-07-01,60.333333333333336,3
2007-07-08,0,3
2007-07-15,0,3
2007-07-22,0,3
2007-07-29,0,3
2007-08-05,0,3
2007-08-12,0,3
2007-08-19,64.33333333333333,3
2007-08-26,0,4
2007-09-02,0,4
2007-09-09,0,4
2007-09-16,0,4
2007-09-23,0,4
2007-09-30,0,4
2007-10-07,37.5,4
2007-10-14,0,4
2007-10-21,0,4
2007-10-28,0,4
2007-11-04,60.25,4
2007-11-11,0,5
2007-11-18,27.6,5
2007-11-25,25.6,5
2007-12-02,15.4,5
2007-12-09,28,5
2007-12-16,0,5
2007-12-23,43.2,5
2007-12-30,0,5
2008-01-06,0,5
2008-01-13,0,5
2008-01-20,26.2,5
2008-01-27,19.333333333333332,6
2008-02-03,42.833333333333336,6
2008-02-10,47.333333333333336,6
2008-02-17,0,6
2008-02-24,0,6
2008-03-02,0,6
2008-03-09,0,6
2008-03-16,0,6
2008-03-23,20.833333333333332,6
2008-03-30,0,6
2008-04-06,0,6
2008-04-13,0,7
2008-04-20,0,7
2008-04-27,0,7
2008-05-04,52.285714285714285,7
2008-05-11,0,7
2008-05-18,0,7
2008-05-25,8.714285714285714,7
2008-06-01,0,7
2008-06-08,42.857142857142854,7
2008-06-15,0,7
2008-06-22,22.285714285714285,7
2008-06-29,56.5,8
2008-07-06,8.125,8
2008-07-13,0,8
2008-07-20,0,8
2008-07-27,0,8
2008-08-03,0,8
2008-08-10,69.5,8
2008-08-17,0,8
2008-08-24,0,8
2008-08-31,0,8
2008-09-07,17.75,8
2008-09-14,0,9
2008-09-21,0,9
2008-09-28,0,9
2008-10-05,24.555555555555557,9
2008-10-12,0,9
2008-10-19,33.111111111111114,9
2008-10-26,11.77777777777778,9
2008-11-02,0,9
2008-11-09,22.444444444444443,9
2008-11-16,0,9
2008-11-23,15.333333333333334,9
2008-11-30,13.5,10
2008-12-07,0,10
2008-12-14,0,10
2008-12-21,19.2,10
2008-12-28,12,10
2009-01-04,17,10
2009-01-11,0,10
2009-01-18,0,10
2009-01-25,0,10
2009-02-01,0,10
2009-02-08,0,10
2009-02-15,0,11
2009-02-22,0,11
2009-03-01,3.4545454545454546,11
2009-03-08,16,11
2009-03-15,21.454545454545453,11
2009-03-22,0,11
2009-03-29,0,11
2009-04-05,0,11
2009-04-12,0,11
2009-04-19,0,11
2009-04-26,0,11
