time,value,n
2007-01-01,45,1
2007-01-02,55,1
2007-01-03,0,1
2007-01-04,28,1
2007-01-05,63,1
2007-01-06,0,1
2007-01-07,0,1
2007-01-08,47,1
2007-01-09,46,1
2007-01-10,95,1
2007-01-11,0,1
2007-01-12,79,1
2007-01-13,0,1
2007-01-14,33,1
2007-01-15,22,1
2007-01-16,0,2
2007-01-17,36,2
2007-01-18,12,2
2007-01-19,26.5,2
2007-01-20,57,2
2007-01-21,48.5,2
2007-01-22,67.5,2
2007-01-23,0,2
2007-01-24,48,2
2007-01-25,87,2
2007-01-26,0,2
2007-01-27,0,2
2007-01-28,16.5,2
2007-01-29,22.5,2
2007-01-30,23.5,2
2007-01-31,32.333333333333336,3
2007-02-01,22.333333333333332,3
2007-02-02,26.333333333333332,3
2007-02-03,11.333333333333334,3
2007-02-04,34,3
2007-02-05,45.666666666666664,3
2007-02-06,14.666666666666666,3
2007-02-07,23,3
2007-02-08,40.333333333333336,3
2007-02-09,0,3
2007-02-10,13,3
2007-02-11,66,3
2007-02-12,57.666666666666664,3
2007-02-13,22.666666666666668,3
2007-02-14,24.666666666666668,3
2007-02-15,25.75,4
2007-02-16,32.75,4
2007-02-17,0,4
2007-02-18,0,4
2007-02-19,9,4
2007-02-20,45.5,4
2007-02-21,0,4
2007-02-22,31,4
2007-02-23,22.5,4
2007-02-24,8.25,4
2007-02-25,7.25,4
2007-02-26,10.75,4
2007-02-27,9.25,4
2007-02-28,3.75,4
2007-03-01,39.5,4
2007-03-02,9,5
2007-03-03,18.2,5
2007-03-04,10.8,5
2007-03-05,9.8,5
2007-03-06,0,5
2007-03-07,28.4,5
2007-03-08,10.4,5
2007-03-09,13.6,5
2007-03-10,0,5
2007-03-11,17.2,5
2007-03-12,59.4,5
2007-03-13,46.8,5
2007-03-14,8,5
2007-03-15,3.2,5
2007-03-16,10.4,5
2007-03-17,15.333333333333334,6
2007-03-18,0,6
2007-03-19,16.5,6
2007-03-20,10.333333333333334,6
2007-03-21,6,6
