time,value,n
2007-01-07,43,1
2007-01-14,42,1
2007-01-21,77,1
2007-01-28,50,1
2007-02-04,51,1
2007-02-11,66,1
2007-02-18,29,1
2007-02-25,34,1
2007-03-04,21,1
2007-03-11,64,1
2007-03-18,20,1
2007-03-25,21,2
2007-04-01,53,2
2007-04-08,22.5,2
2007-04-15,24,2
2007-04-22,40,2
2007-04-29,22,2
2007-05-06,43.5,2
2007-05-13,50.5,2
2007-05-20,35.5,2
2007-05-27,30.5,2
2007-06-03,37.5,2
2007-06-10,35.666666666666664,3
2007-06-17,35.333333333333336,3
2007-06-24,46.666666666666664,3
2007-07-01,46,3
2007-07-08,55.333333333333336,3
2007-07-15,52.333333333333336,3
2007-07-22,34.666666666666664,3
2007-07-29,56.333333333333336,3
2007-08-05,55,3
2007-08-12,44.333333333333336,3
2007-08-19,35.666666666666664,3
2007-08-26,54.25,4
2007-09-02,75.5,4
2007-09-09,36,4
2007-09-16,31.75,4
2007-09-23,39.25,4
2007-09-30,39.75,4
2007-10-07,8.25,4
2007-10-14,38.5,4
2007-10-21,22,4
2007-10-28,37.25,4
2007-11-04,33.25,4
2007-11-11,28.8,5
2007-11-18,43,5
2007-11-25,50,5
2007-12-02,63.8,5
2007-12-09,69.4,5
2007-12-16,84,5
2007-12-23,59,5
2007-12-30,31.2,5
2008-01-06,25.2,5
2008-01-13,34.6,5
2008-01-20,35.6,5
2008-01-27,32.833333333333336,6
2008-02-03,42.166666666666664,6
2008-02-10,47.333333333333336,6
2008-02-17,37.333333333333336,6
2008-02-24,34.666666666666664,6
2008-03-02,36.5,6
2008-03-09,37,6
2008-03-16,37.5,6
2008-03-23,39.333333333333336,6
2008-03-30,33.833333333333336,6
2008-04-06,32.666666666666664,6
2008-04-13,41.142857142857146,7
2008-04-20,20.428571428571427,7
2008-04-27,39.857142857142854,7
2008-05-04,33.714285714285715,7
2008-05-11,31.857142857142858,7
2008-05-18,30.142857142857142,7
2008-05-25,25.428571428571427,7
2008-06-01,17.714285714285715,7
2008-06-08,21.428571428571427,7
2008-06-15,42.714285714285715,7
2008-06-22,34.142857142857146,7
2008-06-29,44.5,8
2008-07-06,29.75,8
2008-07-13,33.5,8
2008-07-20,32.5,8
2008-07-27,61.125,8
2008-08-03,27.375,8
2008-08-10,23,8
2008-08-17,39.375,8
2008-08-24,35,8
2008-08-31,30.25,8
2008-09-07,29.375,8
2008-09-14,41.888888888888886,9
2008-09-21,45.77777777777778,9
2008-09-28,41.666666666666664,9
2008-10-05,35.44444444444444,9
2008-10-12,33.55555555555556,9
2008-10-19,28.666666666666668,9
2008-10-26,36.333333333333336,9
2008-11-02,32.111111111111114,9
2008-11-09,36.888888888888886,9
2008-11-16,61.888888888888886,9
2008-11-23,65.11111111111111,9
2008-11-30,54.5,10
2008-12-07,51.3,10
2008-12-14,63.1,10
2008-12-21,50.5,10
2008-12-28,54.4,10
2009-01-04,34.3,10
2009-01-11,36.8,10
2009-01-18,40.1,10
2009-01-25,27,10
2009-02-01,71.6,10
2009-02-08,39.4,10
2009-02-15,58.90909090909091,11
2009-02-22,48.45454545454545,11
2009-03-01,30.636363636363637,11
2009-03-08,39.63636363636363,11
2009-03-15,37.27272727272727,11
2009-03-22,44.72727272727273,11
2009-03-29,28.09090909090909,11
2009-04-05,51.36363636363637,11
2009-04-12,54.09090909090909,11
2009-04-19,29.181818181818183,11
2009-04-26,37,11
2009-05-03,28.833333333333332,12
2009-05-10,29.583333333333332,12
2009-05-17,37.75,12
2009-05-24,31.666666666666668,12
2009-05-31,30.666666666666668,12
2009-06-07,30.5,12
2009-06-14,50.833333333333336,12
2009-06-21,30.833333333333332,12
2009-06-28,26.833333333333332,12
2009-07-05,18.833333333333332,12
2009-07-12,39.583333333333336,12
2009-07-19,39.23076923076923,13
2009-07-26,46.92307692307692,13
2009-08-02,49.07692307692308,13
2009-08-09,27.307692307692307,13
2009-08-16,45.15384615384615,13
2009-08-23,46.15384615384615,13
2009-08-30,38.84615384615385,13
2009-09-06,26,13
2009-09-13,41.69230769230769,13
2009-09-20,39.69230769230769,13
2009-09-27,33.07692307692308,13
2009-10-04,37.07142857142857,14
2009-10-11,20.285714285714285,14
2009-10-18,38.714285714285715,14
2009-10-25,42.92857142857143,14
2009-11-01,40.07142857142857,14
2009-11-08,51.142857142857146,14
2009-11-15,51.857142857142854,14
2009-11-22,46.714285714285715,14
2009-11-29,73.92857142857143,14
2009-12-06,71.64285714285714,14
2009-12-13,64.78571428571429,14
2009-12-20,84.66666666666667,15
2009-12-27,59.93333333333333,15
2010-01-03,36.53333333333333,15
2010-01-10,39.6,15
2010-01-17,45.2,15
2010-01-24,32.06666666666667,15
2010-01-31,40.4,15
2010-02-07,39.93333333333333,15
2010-02-14,29.333333333333332,15
2010-02-21,35.266666666666666,15
2010-02-28,46.6,15
2010-03-07,30.375,16
2010-03-14,29.4375,16
2010-03-21,29.1875,16
2010-03-28,49.75,16
