time,value,n
2007-01-07,0,1
2007-01-14,0,1
2007-01-21,0,1
2007-01-28,0,1
2007-02-04,0,1
2007-02-11,28,1
2007-02-18,0,1
2007-02-25,0,1
2007-03-04,0,1
2007-03-11,0,1
2007-03-18,26,1
2007-03-25,0,2
2007-04-01,15.5,2
2007-04-08,0,2
2007-04-15,31,2
2007-04-22,0,2
2007-04-29,14,2
2007-05-06,71,2
2007-05-13,77.5,2
2007-05-20,43,2
2007-05-27,29,2
2007-06-03,13.5,2
2007-06-10,39,3
2007-06-17,0,3
2007-06-24,8.666666666666666,3
2007-07-01,0,3
2007-07-08,0,3
2007-07-15,33,3
2007-07-22,22.333333333333332,3
2007-07-29,0,3
2007-08-05,9,3
2007-08-12,0,3
2007-08-19,19,3
2007-08-26,14,4
2007-09-02,0,4
2007-09-09,0,4
2007-09-16,0,4
2007-09-23,0,4
2007-09-30,27,4
2007-10-07,0,4
2007-10-14,0,4
2007-10-21,0,4
2007-10-28,13,4
2007-11-04,24.5,4
2007-11-11,13,5
2007-11-18,29.4,5
2007-11-25,15.4,5
2007-12-02,29.6,5
2007-12-09,0,5
2007-12-16,0,5
2007-12-23,0,5
2007-12-30,50,5
2008-01-06,24.2,5
2008-01-13,0,5
2008-01-20,27.2,5
2008-01-27,3.1666666666666665,6
2008-02-03,49.5,6
2008-02-10,8.666666666666666,6
2008-02-17,21,6
2008-02-24,36.5,6
2008-03-02,8.833333333333334,6
2008-03-09,8.833333333333334,6
2008-03-16,34,6
2008-03-23,9,6
2008-03-30,7.333333333333333,6
2008-04-06,16.833333333333332,6
2008-04-13,37.285714285714285,7
2008-04-20,6.714285714285714,7
2008-04-27,0,7
2008-05-04,0,7
2008-05-11,19.142857142857142,7
2008-05-18,18.428571428571427,7
2008-05-25,0,7
2008-06-01,32,7
2008-06-08,22.428571428571427,7
2008-06-15,22,7
2008-06-22,33.285714285714285,7
2008-06-29,18,8
2008-07-06,19.75,8
2008-07-13,19.25,8
2008-07-20,22.875,8
2008-07-27,15.125,8
2008-08-03,24.375,8
2008-08-10,6.875,8
2008-08-17,21.25,8
2008-08-24,9.125,8
2008-08-31,0,8
2008-09-07,0,8
2008-09-14,0,9
2008-09-21,20.77777777777778,9
2008-09-28,14,9
2008-10-05,8.333333333333334,9
2008-10-12,2,9
2008-10-19,12.11111111111111,9
2008-10-26,13.555555555555555,9
2008-11-02,5,9
2008-11-09,5.111111111111111,9
2008-11-16,0,9
2008-11-23,44,9
2008-11-30,16.8,10
2008-12-07,37.8,10
2008-12-14,5.2,10
2008-12-21,35.8,10
2008-12-28,14.2,10
2009-01-04,13.6,10
2009-01-11,0,10
2009-01-18,15.6,10
2009-01-25,4.2,10
2009-02-01,9.8,10
2009-02-08,7,10
2009-02-15,0,11
2009-02-22,0,11
2009-03-01,0,11
2009-03-08,3.8181818181818183,11
2009-03-15,7.090909090909091,11
