time,value,n
2007-01-07,99,1
2007-01-14,0,1
2007-01-21,0,1
2007-01-28,0,1
2007-02-04,0,1
2007-02-11,0,1
2007-02-18,0,1
2007-02-25,0,1
2007-03-04,0,1
2007-03-11,0,1
2007-03-18,0,1
2007-03-25,50,2
2007-04-01,0,2
2007-04-08,0,2
2007-04-15,0,2
2007-04-22,0,2
2007-04-29,0,2
2007-05-06,0,2
2007-05-13,0,2
2007-05-20,0,2
2007-05-27,0,2
2007-06-03,48.5,2
2007-06-10,0,3
2007-06-17,0,3
2007-06-24,0,3
2007-07-01,0,3
2007-07-08,0,3
2007-07-15,0,3
2007-07-22,66.66666666666667,3
2007-07-29,0,3
2007-08-05,0,3
2007-08-12,0,3
2007-08-19,0,3
2007-08-26,0,4
2007-09-02,0,4
2007-09-09,21.75,4
2007-09-16,68.5,4
2007-09-23,0,4
2007-09-30,0,4
2007-10-07,0,4
2007-10-14,0,4
2007-10-21,40,4
2007-10-28,0,4
2007-11-04,0,4
2007-11-11,0,5
2007-11-18,0,5
2007-11-25,0,5
2007-12-02,0,5
2007-12-09,0,5
2007-12-16,0,5
2007-12-23,0,5
2007-12-30,0,5
2008-01-06,0,5
2008-01-13,0,5
2008-01-20,0,5
2008-01-27,0,6
2008-02-03,0,6
2008-02-10,0,6
2008-02-17,0,6
2008-02-24,0,6
2008-03-02,0,6
2008-03-09,0,6
2008-03-16,0,6
2008-03-23,0,6
2008-03-30,0,6
2008-04-06,0,6
2008-04-13,0,7
2008-04-20,0,7
2008-04-27,0,7
2008-05-04,0,7
2008-05-11,0,7
2008-05-18,0,7
2008-05-25,0,7
2008-06-01,0,7
2008-06-08,0,7
2008-06-15,0,7
2008-06-22,0,7
2008-06-29,52.75,8
2008-07-06,0,8
2008-07-13,0,8
2008-07-20,0,8
2008-07-27,0,8
2008-08-03,0,8
2008-08-10,0,8
2008-08-17,59,8
2008-08-24,0,8
2008-08-31,0,8
2008-09-07,0,8
2008-09-14,0,9
2008-09-21,0,9
2008-09-28,0,9
2008-10-05,0,9
2008-10-12,0,9
2008-10-19,0,9
2008-10-26,0,9
2008-11-02,0,9
2008-11-09,0,9
2008-11-16,0,9
2008-11-23,0,9
2008-11-30,0,10
2008-12-07,0,10
2008-12-14,0,10
2008-12-21,0,10
2008-12-28,17.8,10
2009-01-04,0,10
2009-01-11,0,10
2009-01-18,0,10
2009-01-25,0,10
2009-02-01,0,10
2009-02-08,0,10
2009-02-15,24.363636363636363,11
2009-02-22,21.272727272727273,11
2009-03-01,0,11
2009-03-08,0,11
2009-03-15,26.363636363636363,11
2009-03-22,0,11
2009-03-29,18.272727272727273,11
2009-04-05,0,11
2009-04-12,0,11
2009-04-19,0,11
2009-04-26,0,11
2009-05-03,0,12
2009-05-10,36.916666666666664,12
2009-05-17,0,12
2009-05-24,0,12
2009-05-31,0,12
2009-06-07,0,12
2009-06-14,0,12
2009-06-21,0,12
2009-06-28,0,12
2009-07-05,0,12
2009-07-12,0,12
2009-07-19,20.53846153846154,13
2009-07-26,0,13
2009-08-02,0,13
2009-08-09,0,13
2009-08-16,0,13
2009-08-23,0,13
2009-08-30,0,13
2009-09-06,25.846153846153847,13
2009-09-13,23.384615384615383,13
2009-09-20,0,13
2009-09-27,0,13
2009-10-04,31.714285714285715,14
2009-10-11,0,14
2009-10-18,0,14
2009-10-25,0,14
2009-11-01,0,14
2009-11-08,0,14
2009-11-15,0,14
2009-11-22,0,14
2009-11-29,0,14
2009-12-06,0,14
2009-12-13,0,14
2009-12-20,0,15
2009-12-27,0,15
2010-01-03,0,15
2010-01-10,0,15
2010-01-17,12.8,15
2010-01-24,0,15
2010-01-31,0,15
2010-02-07,0,15
2010-02-14,0,15
2010-02-21,0,15
2010-02-28,0,15
2010-03-07,0,16
2010-03-14,0,16
2010-03-21,0,16
2010-03-28,0,16
2010-04-04,0,16
2010-04-11,19.625,16
2010-04-18,0,16
2010-04-25,13.9375,16
2010-05-02,36.1875,16
2010-05-09,0,16
2010-05-16,0,16
2010-05-23,0,17
2010-05-30,0,17
2010-06-06,0,17
2010-06-13,0,17
2010-06-20,0,17
2010-06-27,0,17
2010-07-04,0,17
2010-07-11,24.11764705882353,17
2010-07-18,0,17
2010-07-25,0,17
2010-08-01,0,17
2010-08-08,0,18
2010-08-15,17.833333333333332,18
2010-08-22,25.88888888888889,18
2010-08-29,0,18
2010-09-05,0,18
2010-09-12,0,18
2010-09-19,0,18
2010-09-26,0,18
2010-10-03,0,18
2010-10-10,0,18
2010-10-17,0,18
2010-10-24,0,19
2010-10-31,0,19
2010-11-07,0,19
2010-11-14,0,19
2010-11-21,0,19
2010-11-28,0,19
2010-12-05,0,19
2010-12-12,0,19
2010-12-19,31.68421052631579,19
2010-12-26,0,19
2011-01-02,0,19
2011-01-09,0,20
2011-01-16,0,20
2011-01-23,0,20
2011-01-30,0,20
2011-02-06,0,20
2011-02-13,11.5,20
2011-02-20,0,20
2011-02-27,42.7,20
2011-03-06,0,20
2011-03-13,0,20
2011-03-20,13.4,20
2011-03-27,0,21
2011-04-03,9.714285714285714,21
2011-04-10,0,21
2011-04-17,0,21
2011-04-24,0,21
2011-05-01,0,21
2011-05-08,16.952380952380953,21
2011-05-15,0,21
2011-05-22,23.761904761904763,21
2011-05-29,0,21
2011-06-05,0,21
2011-06-12,0,22
2011-06-19,0,22
2011-06-26,0,22
2011-07-03,0,22
2011-07-10,15.681818181818182,22
2011-07-17,0,22
2011-07-24,0,22
2011-07-31,16.727272727272727,22
2011-08-07,0,22
2011-08-14,0,22
2011-08-21,0,22
2011-08-28,16.26086956521739,23
2011-09-04,0,23
2011-09-11,18.17391304347826,23
2011-09-18,0,23
2011-09-25,0,23
2011-10-02,0,23
2011-10-09,15.521739130434783,23
2011-10-16,0,23
2011-10-23,0,23
2011-10-30,0,23
2011-11-06,15.347826086956522,23
2011-11-13,34.875,24
2011-11-20,0,24
2011-11-27,0,24
2011-12-04,13.958333333333334,24
2011-12-11,0,24
2011-12-18,0,24
2011-12-25,0,24
2012-01-01,16.666666666666668,24
2012-01-08,10.434782608695652,23
2012-01-15,0,23
2012-01-22,0,23
2012-01-29,2.4583333333333335,24
2012-02-05,0,24
2012-02-12,16.125,24
2012-02-19,0,24
2012-02-26,12.458333333333334,24
2012-03-04,15.166666666666666,24
2012-03-11,0,24
2012-03-18,0,24
2012-03-25,0,23
2012-04-01,0,23
2012-04-08,0,23
2012-04-15,0,24
2012-04-22,0,24
2012-04-29,4.208333333333333,24
2012-05-06,3.875,24
2012-05-13,0,24
2012-05-20,18.041666666666668,24
2012-05-27,0,24
2012-06-03,0,24
2012-06-10,10.26086956521739,23
2012-06-17,0,23
2012-06-24,11.91304347826087,23
2012-07-01,0,24
2012-07-08,9.583333333333334,24
2012-07-15,0,24
2012-07-22,12.625,24
2012-07-29,0,24
2012-08-05,0,24
