time,value,n
2007-01-01,100,1
2007-01-02,15,1
2007-01-03,0,1
2007-01-04,15,1
2007-01-05,0,1
2007-01-06,0,1
2007-01-07,19,1
2007-01-08,26,1
2007-01-09,26,1
2007-01-10,26,1
2007-01-11,26,1
2007-01-12,73,1
2007-01-13,64,1
2007-01-14,18,1
2007-01-15,25,1
2007-01-16,19,2
2007-01-17,19,2
2007-01-18,19,2
2007-01-19,14,2
2007-01-20,50.5,2
2007-01-21,0,2
2007-01-22,6,2
2007-01-23,25,2
2007-01-24,12.5,2
2007-01-25,47,2
2007-01-26,36.5,2
2007-01-27,81,2
2007-01-28,9,2
2007-01-29,12,2
2007-01-30,6.5,2
2007-01-31,36.666666666666664,3
2007-02-01,22,3
2007-02-02,25.666666666666668,3
2007-02-03,7.666666666666667,3
2007-02-04,0,3
2007-02-05,26,3
2007-02-06,8.333333333333334,3
2007-02-07,22.666666666666668,3
2007-02-08,29,3
2007-02-09,5,3
2007-02-10,28.666666666666668,3
2007-02-11,32,3
2007-02-12,16.333333333333332,3
2007-02-13,22,3
2007-02-14,19,3
2007-02-15,37.75,4
2007-02-16,15.5,4
2007-02-17,0,4
2007-02-18,0,4
2007-02-19,17,4
2007-02-20,22,4
2007-02-21,20.5,4
2007-02-22,6.75,4
2007-02-23,15.75,4
2007-02-24,21.5,4
2007-02-25,13.5,4
2007-02-26,12.25,4
2007-02-27,16,4
2007-02-28,16.25,4
2007-03-01,13,4
2007-03-02,27.8,5
2007-03-03,40.8,5
2007-03-04,44.8,5
2007-03-05,44,5
2007-03-06,15.6,5
2007-03-07,2.4,5
2007-03-08,19.8,5
2007-03-09,12,5
2007-03-10,0,5
2007-03-11,20,5
2007-03-12,4.8,5
2007-03-13,2.6,5
2007-03-14,24.8,5
2007-03-15,14.4,5
2007-03-16,22.2,5
2007-03-17,41.5,6
2007-03-18,50.166666666666664,6
2007-03-19,18.833333333333332,6
2007-03-20,35.666666666666664,6
2007-03-21,9.166666666666666,6
2007-03-22,12.166666666666666,6
