time,value,n
2007-01-01,96,1
2007-01-02,35,1
2007-01-03,47,1
2007-01-04,37,1
2007-01-05,54,1
2007-01-06,16,1
2007-01-07,43,1
2007-01-08,49,1
2007-01-09,40,1
2007-01-10,20,1
2007-01-11,41,1
2007-01-12,23,1
2007-01-13,0,1
2007-01-14,42,1
2007-01-15,57,1
2007-01-16,28,2
2007-01-17,38,2
2007-01-18,43,2
2007-01-19,58,2
2007-01-20,45.5,2
2007-01-21,25.5,2
2007-01-22,35,2
2007-01-23,47.5,2
2007-01-24,36,2
2007-01-25,41,2
2007-01-26,66,2
2007-01-27,89.5,2
2007-01-28,86,2
2007-01-29,40.5,2
2007-01-30,42.5,2
2007-01-31,74.66666666666667,3
2007-02-01,29.333333333333332,3
2007-02-02,36,3
2007-02-03,25.333333333333332,3
2007-02-04,66,3
2007-02-05,42.666666666666664,3
2007-02-06,21.666666666666668,3
2007-02-07,22.666666666666668,3
2007-02-08,30.333333333333332,3
2007-02-09,42.333333333333336,3
2007-02-10,50.333333333333336,3
2007-02-11,37,3
2007-02-12,69.66666666666667,3
2007-02-13,21.666666666666668,3
2007-02-14,36.333333333333336,3
2007-02-15,51.5,4
2007-02-16,51,4
2007-02-17,4.5,4
2007-02-18,18.25,4
2007-02-19,50.25,4
2007-02-20,42.25,4
2007-02-21,49,4
2007-02-22,32.25,4
2007-02-23,43.75,4
2007-02-24,58,4
2007-02-25,52.5,4
2007-02-26,48.75,4
2007-02-27,49.25,4
2007-02-28,29.25,4
2007-03-01,39.5,4
2007-03-02,66.2,5
2007-03-03,72,5
2007-03-04,43.2,5
2007-03-05,36.2,5
2007-03-06,34.6,5
2007-03-07,46.4,5
2007-03-08,48.8,5
2007-03-09,70.6,5
2007-03-10,39.6,5
2007-03-11,19.2,5
2007-03-12,44,5
2007-03-13,39.4,5
2007-03-14,28.6,5
2007-03-15,40.2,5
2007-03-16,26.2,5
2007-03-17,21.666666666666668,6
2007-03-18,22.333333333333332,6
2007-03-19,44.5,6
2007-03-20,44.5,6
2007-03-21,22.333333333333332,6
2007-03-22,33.5,6
2007-03-23,37.5,6
2007-03-24,63.5,6
2007-03-25,38,6
2007-03-26,31.166666666666668,6
2007-03-27,42.666666666666664,6
2007-03-28,58.833333333333336,6
2007-03-29,46.333333333333336,6
2007-03-30,46.5,6
2007-03-31,36.333333333333336,6
2007-04-01,43.42857142857143,7
2007-04-02,46.857142857142854,7
2007-04-03,14.428571428571429,7
2007-04-04,33,7
2007-04-05,29,7
2007-04-06,17.142857142857142,7
2007-04-07,12.428571428571429,7
2007-04-08,36,7
2007-04-09,22.571428571428573,7
2007-04-10,38.142857142857146,7
2007-04-11,30,7
2007-04-12,29.571428571428573,7
2007-04-13,44.142857142857146,7
2007-04-14,50.857142857142854,7
2007-04-15,70.42857142857143,7
2007-04-16,49.125,8
2007-04-17,33.75,8
2007-04-18,32.875,8
2007-04-19,27.5,8
2007-04-20,53,8
2007-04-21,53.75,8
2007-04-22,55,8
2007-04-23,32.5,8
2007-04-24,54.625,8
2007-04-25,40.25,8
2007-04-26,49.25,8
2007-04-27,45.125,8
2007-04-28,66.125,8
2007-04-29,25.75,8
2007-04-30,44.25,8
2007-05-01,25.11111111111111,9
2007-05-02,54.111111111111114,9
2007-05-03,32.55555555555556,9
2007-05-04,24.333333333333332,9
2007-05-05,36.55555555555556,9
2007-05-06,20.444444444444443,9
2007-05-07,33.888888888888886,9
2007-05-08,32.333333333333336,9
2007-05-09,56.333333333333336,9
2007-05-10,54.44444444444444,9
2007-05-11,38.888888888888886,9
2007-05-12,38,9
2007-05-13,17.22222222222222,9
2007-05-14,34.22222222222222,9
2007-05-15,32.22222222222222,9
2007-05-16,21.5,10
2007-05-17,24.4,10
2007-05-18,32,10
2007-05-19,31,10
2007-05-20,23.2,10
2007-05-21,35.5,10
2007-05-22,14.4,10
2007-05-23,13.9,10
2007-05-24,34.6,10
2007-05-25,36.7,10
2007-05-26,18.1,10
2007-05-27,21.9,10
2007-05-28,50.3,10
2007-05-29,32.6,10
2007-05-30,34.1,10
2007-05-31,13.090909090909092,11
2007-06-01,25.727272727272727,11
2007-06-02,28.363636363636363,11
2007-06-03,34.90909090909091,11
2007-06-04,34.36363636363637,11
2007-06-05,25.818181818181817,11
2007-06-06,40.54545454545455,11
2007-06-07,30.636363636363637,11
2007-06-08,34.36363636363637,11
2007-06-09,20.818181818181817,11
2007-06-10,56.09090909090909,11
2007-06-11,26.363636363636363,11
2007-06-12,10.545454545454543,11
2007-06-13,30.818181818181817,11
2007-06-14,42,11
2007-06-15,20.25,12
2007-06-16,41.083333333333336,12
2007-06-17,25.583333333333332,12
2007-06-18,26.166666666666668,12
2007-06-19,31,12
2007-06-20,12.75,12
2007-06-21,41.833333333333336,12
2007-06-22,37.583333333333336,12
2007-06-23,20,12
2007-06-24,52.75,12
2007-06-25,16.666666666666668,12
2007-06-26,18.5,12
2007-06-27,34.083333333333336,12
2007-06-28,46.916666666666664,12
2007-06-29,42.75,12
2007-06-30,20.692307692307693,13
2007-07-01,39.23076923076923,13
2007-07-02,40.083333333333336,12
2007-07-03,17.75,12
2007-07-04,23.083333333333332,12
2007-07-05,38.75,12
2007-07-06,45.666666666666664,12
2007-07-07,24.166666666666668,12
2007-07-08,30.5,12
2007-07-09,15.583333333333334,12
2007-07-10,30.333333333333332,12
2007-07-11,39.833333333333336,12
2007-07-12,26.333333333333332,12
2007-07-13,39.666666666666664,12
2007-07-14,22.666666666666668,12
2007-07-15,20.692307692307693,13
2007-07-16,25.53846153846154,13
2007-07-17,21.25,12
2007-07-18,27.416666666666668,12
2007-07-19,23.583333333333332,12
2007-07-20,46.666666666666664,12
2007-07-21,42.833333333333336,12
2007-07-22,34.416666666666664,12
2007-07-23,52.25,12
2007-07-24,26.583333333333332,12
2007-07-25,42.333333333333336,12
2007-07-26,24.416666666666668,12
2007-07-27,28.25,12
2007-07-28,24.75,12
2007-07-29,23.25,12
2007-07-30,30.46153846153846,13
2007-07-31,21.46153846153846,13
2007-08-01,26.416666666666668,12
2007-08-02,8.25,12
2007-08-03,25.583333333333332,12
2007-08-04,27.583333333333332,12
2007-08-05,9,12
2007-08-06,52.833333333333336,12
2007-08-07,33.416666666666664,12
2007-08-08,35.25,12
2007-08-09,31.333333333333332,12
2007-08-10,25.416666666666668,12
2007-08-11,17,12
2007-08-12,48.333333333333336,12
2007-08-13,30.583333333333332,12
2007-08-14,15.461538461538462,13
2007-08-15,28.153846153846153,13
2007-08-16,14.75,12
2007-08-17,19.916666666666668,12
2007-08-18,27.5,12
2007-08-19,25.416666666666668,12
2007-08-20,32.916666666666664,12
2007-08-21,34.583333333333336,12
2007-08-22,32.75,12
2007-08-23,16.416666666666668,12
2007-08-24,6.166666666666667,12
2007-08-25,23.166666666666668,12
2007-08-26,30.833333333333332,12
2007-08-27,26,12
2007-08-28,12.75,12
2007-08-29,28.53846153846154,13
2007-08-30,18.53846153846154,13
2007-08-31,42.07692307692308,13
2007-09-01,13.923076923076923,13
2007-09-02,16.76923076923077,13
2007-09-03,21.916666666666668,12
2007-09-04,36.083333333333336,12
2007-09-05,43.416666666666664,12
2007-09-06,39.083333333333336,12
2007-09-07,14.833333333333334,12
2007-09-08,11.75,12
2007-09-09,34.666666666666664,12
2007-09-10,24.75,12
2007-09-11,25.083333333333332,12
2007-09-12,39.083333333333336,12
2007-09-13,43.61538461538461,13
2007-09-14,74.23076923076923,13
2007-09-15,5.153846153846154,13
2007-09-16,57.69230769230769,13
2007-09-17,37.61538461538461,13
2007-09-18,41.25,12
2007-09-19,32.916666666666664,12
2007-09-20,27.083333333333332,12
2007-09-21,33.916666666666664,12
2007-09-22,37.083333333333336,12
2007-09-23,15.166666666666666,12
2007-09-24,42,12
2007-09-25,56.416666666666664,12
2007-09-26,40.333333333333336,12
2007-09-27,62.333333333333336,12
2007-09-28,49.53846153846154,13
2007-09-29,24.692307692307693,13
2007-09-30,53.76923076923077,13
2007-10-01,26.46153846153846,13
2007-10-02,54.333333333333336,12
2007-10-03,26.083333333333332,12
2007-10-04,53.833333333333336,12
2007-10-05,26.333333333333332,12
2007-10-06,27.416666666666668,12
2007-10-07,21.916666666666668,12
2007-10-08,57.5,12
2007-10-09,39.583333333333336,12
2007-10-10,37.416666666666664,12
2007-10-11,49.083333333333336,12
2007-10-12,45,12
2007-10-13,56.92307692307692,13
2007-10-14,36.23076923076923,13
2007-10-15,45.38461538461539,13
2007-10-16,32.76923076923077,13
2007-10-17,63.416666666666664,12
2007-10-18,38.333333333333336,12
2007-10-19,27.416666666666668,12
2007-10-20,46.833333333333336,12
2007-10-21,51.333333333333336,12
2007-10-22,40.166666666666664,12
2007-10-23,69,12
2007-10-24,53.083333333333336,12
2007-10-25,39.333333333333336,12
2007-10-26,53.666666666666664,12
2007-10-27,22.5,12
2007-10-28,19.384615384615383,13
2007-10-29,49.61538461538461,13
2007-10-30,26,13
2007-10-31,36.76923076923077,13
2007-11-01,32.23076923076923,13
2007-11-02,31.916666666666668,12
2007-11-03,55.75,12
2007-11-04,55.916666666666664,12
2007-11-05,37.583333333333336,12
2007-11-06,40.916666666666664,12
2007-11-07,54.083333333333336,12
2007-11-08,39.916666666666664,12
2007-11-09,58.583333333333336,12
2007-11-10,46,12
2007-11-11,45,12
2007-11-12,68.53846153846153,13
2007-11-13,51.84615384615385,13
2007-11-14,42.38461538461539,13
2007-11-15,54.53846153846154,13
2007-11-16,43,13
2007-11-17,49.833333333333336,12
2007-11-18,67.75,12
2007-11-19,54.083333333333336,12
2007-11-20,45.083333333333336,12
2007-11-21,24.083333333333332,12
2007-11-22,46.833333333333336,12
2007-11-23,71.16666666666667,12
2007-11-24,77.75,12
2007-11-25,63.5,12
2007-11-26,43.75,12
2007-11-27,76.07692307692308,13
2007-11-28,27.923076923076923,13
2007-11-29,42.38461538461539,13
2007-11-30,47.15384615384615,13
2007-12-01,48.69230769230769,13
2007-12-02,19.333333333333332,12
2007-12-03,34.75,12
2007-12-04,57.25,12
2007-12-05,53.166666666666664,12
2007-12-06,40.5,12
2007-12-07,32.833333333333336,12
2007-12-08,41.166666666666664,12
2007-12-09,46.833333333333336,12
2007-12-10,53.75,12
2007-12-11,61.166666666666664,12
2007-12-12,50.30769230769231,13
2007-12-13,69,13
2007-12-14,47.61538461538461,13
2007-12-15,56,13
2007-12-16,43.5,12
2007-12-17,44.666666666666664,12
2007-12-18,35.583333333333336,12
2007-12-19,55.083333333333336,12
2007-12-20,35.833333333333336,12
2007-12-21,69.25,12
2007-12-22,54.916666666666664,12
2007-12-23,38.416666666666664,12
2007-12-24,24.833333333333332,12
2007-12-25,35.583333333333336,12
2007-12-26,31.166666666666668,12
2007-12-27,53.84615384615385,13
2007-12-28,36.23076923076923,13
2007-12-29,28.615384615384617,13
2007-12-30,22.46153846153846,13
2007-12-31,28.333333333333332,12
2008-01-01,19.083333333333332,12
2008-01-02,38.416666666666664,12
2008-01-03,55.666666666666664,12
2008-01-04,46.333333333333336,12
2008-01-05,42.833333333333336,12
2008-01-06,41.416666666666664,12
2008-01-07,33.666666666666664,12
2008-01-08,38.166666666666664,12
2008-01-09,42.5,12
2008-01-10,40.916666666666664,12
2008-01-11,43,13
2008-01-12,46.76923076923077,13
2008-01-13,47.23076923076923,13
2008-01-14,28.53846153846154,13
2008-01-15,42.07692307692308,13
2008-01-16,34.333333333333336,12
2008-01-17,58.333333333333336,12
2008-01-18,48.333333333333336,12
2008-01-19,46.75,12
2008-01-20,58.583333333333336,12
2008-01-21,60.583333333333336,12
2008-01-22,50.75,12
2008-01-23,51.416666666666664,12
2008-01-24,59.333333333333336,12
2008-01-25,58.833333333333336,12
2008-01-26,48.61538461538461,13
2008-01-27,52.38461538461539,13
2008-01-28,53.61538461538461,13
2008-01-29,52.23076923076923,13
2008-01-30,52.61538461538461,13
2008-01-31,46.916666666666664,12
2008-02-01,52.25,12
2008-02-02,68,12
2008-02-03,40.75,12
2008-02-04,45.083333333333336,12
2008-02-05,28.75,12
2008-02-06,46.833333333333336,12
2008-02-07,29,12
2008-02-08,36.416666666666664,12
2008-02-09,34.833333333333336,12
2008-02-10,41.38461538461539,13
2008-02-11,38.53846153846154,13
