time,value,n
2007-01-07,69,1
2007-01-14,82,1
2007-01-21,62,1
2007-01-28,100,1
2007-02-04,63,1
2007-02-11,67,1
2007-02-18,79,1
2007-02-25,55,1
2007-03-04,82,1
2007-03-11,48,1
2007-03-18,69,1
2007-03-25,60.5,2
2007-04-01,51,2
2007-04-08,64.5,2
2007-04-15,60,2
2007-04-22,80,2
2007-04-29,48,2
2007-05-06,57,2
2007-05-13,36,2
2007-05-20,49.5,2
2007-05-27,37.5,2
2007-06-03,38.5,2
2007-06-10,52.666666666666664,3
2007-06-17,44.666666666666664,3
2007-06-24,49.333333333333336,3
2007-07-01,48.666666666666664,3
2007-07-08,60.333333333333336,3
2007-07-15,45.666666666666664,3
2007-07-22,44,3
2007-07-29,47.333333333333336,3
2007-08-05,41.333333333333336,3
2007-08-12,34,3
2007-08-19,43,3
2007-08-26,42.5,4
2007-09-02,42.75,4
2007-09-09,55.5,4
2007-09-16,62,4
2007-09-23,71.5,4
2007-09-30,66.25,4
2007-10-07,78,4
2007-10-14,56,4
2007-10-21,74.25,4
2007-10-28,58.5,4
2007-11-04,89.75,4
2007-11-11,77,5
2007-11-18,82.4,5
2007-11-25,82.4,5
2007-12-02,71.6,5
2007-12-09,91.8,5
2007-12-16,81.8,5
2007-12-23,58.4,5
2007-12-30,68.4,5
2008-01-06,61,5
2008-01-13,65.6,5
2008-01-20,93,5
2008-01-27,82.66666666666667,6
2008-02-03,66.33333333333333,6
2008-02-10,61.166666666666664,6
2008-02-17,63,6
2008-02-24,67.33333333333333,6
2008-03-02,63.833333333333336,6
2008-03-09,61.833333333333336,6
2008-03-16,50.333333333333336,6
2008-03-23,58.5,6
2008-03-30,58,6
2008-04-06,63.166666666666664,6
2008-04-13,57,7
2008-04-20,65.14285714285714,7
2008-04-27,58.57142857142857,7
2008-05-04,50.285714285714285,7
2008-05-11,56.142857142857146,7
2008-05-18,52.42857142857143,7
2008-05-25,65,7
2008-06-01,51.857142857142854,7
2008-06-08,57.42857142857143,7
