time,value,n
2007-01-07,64,1
2007-01-14,45,1
2007-01-21,57,1
2007-01-28,17,1
2007-02-04,36,1
2007-02-11,66,1
2007-02-18,60,1
2007-02-25,28,1
2007-03-04,34,1
2007-03-11,17,1
2007-03-18,49,1
2007-03-25,48,2
2007-04-01,71,2
2007-04-08,37.5,2
2007-04-15,55.5,2
2007-04-22,37,2
2007-04-29,62,2
2007-05-06,38,2
2007-05-13,62.5,2
2007-05-20,29.5,2
2007-05-27,26,2
2007-06-03,44,2
2007-06-10,60.333333333333336,3
2007-06-17,38.666666666666664,3
2007-06-24,44.666666666666664,3
2007-07-01,37.333333333333336,3
2007-07-08,34.333333333333336,3
2007-07-15,56,3
2007-07-22,69,3
2007-07-29,22,3
2007-08-05,37.666666666666664,3
2007-08-12,53,3
2007-08-19,63.333333333333336,3
2007-08-26,41,4
2007-09-02,47.25,4
2007-09-09,32.75,4
2007-09-16,41.75,4
2007-09-23,39.5,4
2007-09-30,46,4
2007-10-07,44.75,4
2007-10-14,37.5,4
2007-10-21,63.25,4
2007-10-28,68.75,4
2007-11-04,64.75,4
2007-11-11,42.6,5
2007-11-18,58.2,5
2007-11-25,74,5
2007-12-02,66.6,5
2007-12-09,87.6,5
2007-12-16,72.8,5
2007-12-23,57.6,5
2007-12-30,38.4,5
2008-01-06,51.2,5
2008-01-13,48.4,5
2008-01-20,51.4,5
2008-01-27,53.166666666666664,6
2008-02-03,48.833333333333336,6
2008-02-10,53.833333333333336,6
2008-02-17,53.666666666666664,6
2008-02-24,41,6
2008-03-02,43.166666666666664,6
2008-03-09,38.666666666666664,6
2008-03-16,42.5,6
2008-03-23,51.333333333333336,6
2008-03-30,52.666666666666664,6
2008-04-06,36.333333333333336,6
2008-04-13,26.571428571428573,7
2008-04-20,25.857142857142858,7
2008-04-27,42.57142857142857,7
2008-05-04,50.142857142857146,7
2008-05-11,35.714285714285715,7
2008-05-18,33.42857142857143,7
2008-05-25,35,7
2008-06-01,35.285714285714285,7
2008-06-08,39.42857142857143,7
2008-06-15,43.57142857142857,7
2008-06-22,34.857142857142854,7
2008-06-29,34.625,8
2008-07-06,34.625,8
2008-07-13,36.5,8
2008-07-20,55.625,8
2008-07-27,46.125,8
2008-08-03,36.25,8
2008-08-10,49.125,8
2008-08-17,40.125,8
2008-08-24,48.125,8
2008-08-31,61,8
2008-09-07,45.75,8
2008-09-14,63.77777777777778,9
2008-09-21,39.44444444444444,9
2008-09-28,37.77777777777778,9
2008-10-05,38.55555555555556,9
2008-10-12,33.22222222222222,9
2008-10-19,58,9
2008-10-26,60.77777777777778,9
2008-11-02,53,9
2008-11-09,41.888888888888886,9
2008-11-16,54.888888888888886,9
2008-11-23,78.33333333333333,9
2008-11-30,50.3,10
2008-12-07,69.1,10
2008-12-14,70.4,10
2008-12-21,49,10
2008-12-28,73.1,10
2009-01-04,64.7,10
2009-01-11,42.4,10
2009-01-18,53.9,10
2009-01-25,36.9,10
2009-02-01,37.5,10
2009-02-08,51.6,10
2009-02-15,44.63636363636363,11
2009-02-22,35.63636363636363,11
2009-03-01,36.09090909090909,11
2009-03-08,47.18181818181818,11
2009-03-15,30.545454545454547,11
2009-03-22,50.27272727272727,11
2009-03-29,51.27272727272727,11
2009-04-05,40.18181818181818,11
2009-04-12,47.90909090909091,11
2009-04-19,47.54545454545455,11
2009-04-26,40.63636363636363,11
2009-05-03,43.666666666666664,12
2009-05-10,39.166666666666664,12
2009-05-17,49,12
2009-05-24,50.166666666666664,12
2009-05-31,27.416666666666668,12
2009-06-07,49.75,12
2009-06-14,43.166666666666664,12
2009-06-21,44,12
2009-06-28,46.916666666666664,12
2009-07-05,44.416666666666664,12
2009-07-12,28.333333333333332,12
2009-07-19,47.84615384615385,13
2009-07-26,25.692307692307693,13
2009-08-02,34.53846153846154,13
2009-08-09,40.69230769230769,13
2009-08-16,51.53846153846154,13
2009-08-23,44.38461538461539,13
2009-08-30,35.46153846153846,13
2009-09-06,52.38461538461539,13
2009-09-13,37.46153846153846,13
2009-09-20,34.30769230769231,13
2009-09-27,30.53846153846154,13
2009-10-04,44.42857142857143,14
2009-10-11,41.285714285714285,14
2009-10-18,42.714285714285715,14
2009-10-25,56.857142857142854,14
2009-11-01,47.785714285714285,14
2009-11-08,41.42857142857143,14
2009-11-15,36.214285714285715,14
2009-11-22,46,14
2009-11-29,58.07142857142857,14
2009-12-06,63.57142857142857,14
2009-12-13,60.07142857142857,14
2009-12-20,38.53333333333333,15
2009-12-27,63.266666666666666,15
2010-01-03,48.2,15
2010-01-10,40.333333333333336,15
2010-01-17,46.333333333333336,15
2010-01-24,40.2,15
2010-01-31,35.06666666666667,15
2010-02-07,32.46666666666667,15
2010-02-14,39.4,15
2010-02-21,37.666666666666664,15
2010-02-28,45.4,15
2010-03-07,40.5,16
2010-03-14,44.1875,16
2010-03-21,55.625,16
2010-03-28,45.25,16
2010-04-04,41.0625,16
2010-04-11,50.5625,16
2010-04-18,32.1875,16
2010-04-25,49.0625,16
2010-05-02,42.5625,16
2010-05-09,47.3125,16
2010-05-16,42.625,16
2010-05-23,52.1764705882353,17
2010-05-30,35.88235294117647,17
2010-06-06,48.52941176470589,17
2010-06-13,34.11764705882353,17
2010-06-20,37.23529411764706,17
2010-06-27,32.11764705882353,17
2010-07-04,39.05882352941177,17
2010-07-11,42.11764705882353,17
2010-07-18,39.88235294117647,17
2010-07-25,47.294117647058826,17
2010-08-01,50.52941176470589,17
2010-08-08,39,18
2010-08-15,37.27777777777778,18
2010-08-22,35.888888888888886,18
2010-08-29,52.666666666666664,18
2010-09-05,48.27777777777778,18
2010-09-12,48.888888888888886,18
2010-09-19,46.166666666666664,18
2010-09-26,49.44444444444444,18
2010-10-03,53.888888888888886,18
2010-10-10,60.333333333333336,18
2010-10-17,48.22222222222222,18
2010-10-24,54.578947368421055,19
2010-10-31,62.526315789473685,19
2010-11-07,53.78947368421053,19
2010-11-14,56.26315789473684,19
2010-11-21,48.94736842105263,19
2010-11-28,52.1578947368421,19
2010-12-05,59.1578947368421,19
2010-12-12,50.578947368421055,19
2010-12-19,80.05263157894737,19
2010-12-26,75.6842105263158,19
2011-01-02,59.21052631578947,19
2011-01-09,50.6,20
2011-01-16,44.75,20
2011-01-23,42.4,20
2011-01-30,49.2,20
2011-02-06,37.1,20
2011-02-13,39.15,20
2011-02-20,47.5,20
2011-02-27,57.1,20
2011-03-06,52.7,20
2011-03-13,42.2,20
2011-03-20,60.55,20
2011-03-27,78.23809523809524,21
2011-04-03,43.523809523809526,21
2011-04-10,45,21
2011-04-17,43.95238095238095,21
2011-04-24,48.23809523809524,21
2011-05-01,47.142857142857146,21
2011-05-08,48.476190476190474,21
2011-05-15,48.95238095238095,21
2011-05-22,44.285714285714285,21
2011-05-29,38.95238095238095,21
2011-06-05,44.76190476190476,21
2011-06-12,52.27272727272727,22
2011-06-19,36.68181818181818,22
2011-06-26,49.68181818181818,22
2011-07-03,44.36363636363637,22
2011-07-10,43.40909090909091,22
2011-07-17,52.63636363636363,22
2011-07-24,39.13636363636363,22
2011-07-31,58.45454545454545,22
2011-08-07,51.59090909090909,22
2011-08-14,45.18181818181818,22
2011-08-21,33.77272727272727,22
2011-08-28,48.91304347826087,23
2011-09-04,47.04347826086956,23
2011-09-11,49.04347826086956,23
2011-09-18,38.91304347826087,23
2011-09-25,49.95652173913044,23
2011-10-02,50.78260869565217,23
2011-10-09,61.65217391304348,23
2011-10-16,40.869565217391305,23
2011-10-23,66.08695652173913,23
2011-10-30,71.73913043478261,23
2011-11-06,46.26086956521739,23
2011-11-13,61.708333333333336,24
2011-11-20,61.25,24
2011-11-27,71.79166666666667,24
2011-12-04,75.375,24
2011-12-11,65.95833333333333,24
2011-12-18,73.20833333333333,24
2011-12-25,66.875,24
2012-01-01,54.958333333333336,24
2012-01-08,44.130434782608695,23
2012-01-15,53.52173913043478,23
2012-01-22,53.73913043478261,23
2012-01-29,53.375,24
2012-02-05,49.208333333333336,24
2012-02-12,48.458333333333336,24
2012-02-19,37.958333333333336,24
2012-02-26,44.791666666666664,24
2012-03-04,53.125,24
2012-03-11,42.666666666666664,24
2012-03-18,68.625,24
2012-03-25,50.56521739130435,23
2012-04-01,47.21739130434783,23
2012-04-08,43.69565217391305,23
2012-04-15,55.708333333333336,24
2012-04-22,54.791666666666664,24
2012-04-29,48.666666666666664,24
2012-05-06,59.25,24
2012-05-13,49.416666666666664,24
2012-05-20,44.833333333333336,24
2012-05-27,57.5,24
2012-06-03,47.208333333333336,24
2012-06-10,56.47826086956522,23
2012-06-17,46.130434782608695,23
2012-06-24,45.69565217391305,23
2012-07-01,49.541666666666664,24
2012-07-08,51.75,24
2012-07-15,52.333333333333336,24
2012-07-22,47.083333333333336,24
2012-07-29,53.25,24
2012-08-05,53.791666666666664,24
2012-08-12,70.91666666666667,24
2012-08-19,53.958333333333336,24
2012-08-26,59.04347826086956,23
2012-09-02,46.52173913043478,23
2012-09-09,53.130434782608695,23
2012-09-16,57.625,24
2012-09-23,52.958333333333336,24
2012-09-30,56.875,24
2012-10-07,58.958333333333336,24
2012-10-14,47.708333333333336,24
2012-10-21,66.25,24
2012-10-28,67.625,24
2012-11-04,61.75,24
2012-11-11,56.130434782608695,23
2012-11-18,58.608695652173914,23
2012-11-25,60.82608695652174,23
2012-12-02,63.208333333333336,24
2012-12-09,66.375,24
2012-12-16,74.08333333333333,24
2012-12-23,73.08333333333333,24
2012-12-30,56.583333333333336,24
2013-01-06,58.708333333333336,24
2013-01-13,51,24
2013-01-20,60.583333333333336,24
2013-01-27,42.391304347826086,23
2013-02-03,48.73913043478261,23
2013-02-10,46.56521739130435,23
2013-02-17,45.625,24
2013-02-24,53.333333333333336,24
2013-03-03,44.375,24
2013-03-10,45.166666666666664,24
2013-03-17,55.958333333333336,24
2013-03-24,61.083333333333336,24
2013-03-31,59.208333333333336,24
2013-04-07,47.708333333333336,24
2013-04-14,46.82608695652174,23
2013-04-21,42.30434782608695,23
2013-04-28,53.26086956521739,23
2013-05-05,49.833333333333336,24
2013-05-12,40.708333333333336,24
2013-05-19,48.041666666666664,24
2013-05-26,48.625,24
2013-06-02,46.291666666666664,24
2013-06-09,43.833333333333336,24
2013-06-16,49.5,24
2013-06-23,55.208333333333336,24
2013-06-30,50.17391304347826,23
2013-07-07,43.391304347826086,23
2013-07-14,49.17391304347826,23
2013-07-21,45.958333333333336,24
2013-07-28,47.125,24
2013-08-04,38.291666666666664,24
2013-08-11,54.75,24
2013-08-18,53.708333333333336,24
2013-08-25,48.666666666666664,24
2013-09-01,44.625,24
2013-09-08,46.75,24
2013-09-15,48.30434782608695,23
2013-09-22,52.34782608695652,23
2013-09-29,46.43478260869565,23
2013-10-06,45,24
2013-10-13,49.666666666666664,24
2013-10-20,58.416666666666664,24
2013-10-27,73.375,24
2013-11-03,54.708333333333336,24
2013-11-10,57.083333333333336,24
2013-11-17,59.583333333333336,24
2013-11-24,63.333333333333336,24
2013-12-01,55.869565217391305,23
2013-12-08,64.43478260869566,23
2013-12-15,62.95652173913044,23
2013-12-22,72.20833333333333,24
