time,value,n
2007-01-07,68,1
2007-01-14,35,1
2007-01-21,21,1
2007-01-28,46,1
2007-02-04,41,1
2007-02-11,18,1
2007-02-18,44,1
2007-02-25,41,1
2007-03-04,27,1
2007-03-11,21,1
2007-03-18,17,1
2007-03-25,29,2
2007-04-01,36.5,2
2007-04-08,47.5,2
2007-04-15,47,2
2007-04-22,26,2
2007-04-29,34,2
2007-05-06,48.5,2
2007-05-13,39.5,2
2007-05-20,28.5,2
2007-05-27,36.5,2
2007-06-03,12,2
2007-06-10,33,3
2007-06-17,39.333333333333336,3
2007-06-24,40.333333333333336,3
2007-07-01,41.333333333333336,3
2007-07-08,39,3
2007-07-15,34.666666666666664,3
2007-07-22,31.666666666666668,3
2007-07-29,40.333333333333336,3
2007-08-05,39,3
2007-08-12,35.666666666666664,3
2007-08-19,30.666666666666668,3
2007-08-26,41.25,4
2007-09-02,39.75,4
2007-09-09,39,4
2007-09-16,35,4
2007-09-23,34.75,4
2007-09-30,22.25,4
2007-10-07,30.75,4
2007-10-14,28,4
2007-10-21,42.5,4
2007-10-28,43,4
2007-11-04,52.75,4
2007-11-11,46.2,5
2007-11-18,59,5
2007-11-25,55.4,5
2007-12-02,64.4,5
2007-12-09,65,5
2007-12-16,58.6,5
2007-12-23,68.4,5
2007-12-30,40.8,5
2008-01-06,30,5
2008-01-13,38.2,5
2008-01-20,27.6,5
2008-01-27,30.166666666666668,6
2008-02-03,22.5,6
2008-02-10,33.833333333333336,6
2008-02-17,30,6
2008-02-24,30.666666666666668,6
2008-03-02,30.333333333333332,6
2008-03-09,29.5,6
2008-03-16,20.833333333333332,6
2008-03-23,29.333333333333332,6
2008-03-30,22,6
2008-04-06,30.5,6
2008-04-13,33.42857142857143,7
2008-04-20,25.142857142857142,7
2008-04-27,34.42857142857143,7
2008-05-04,39,7
2008-05-11,22.142857142857142,7
2008-05-18,37.285714285714285,7
2008-05-25,31,7
2008-06-01,23.857142857142858,7
2008-06-08,24,7
2008-06-15,17.428571428571427,7
2008-06-22,34.57142857142857,7
2008-06-29,39.25,8
2008-07-06,33.25,8
2008-07-13,34,8
2008-07-20,24,8
