time,value,n
2007-01-01,0,1
2007-01-02,0,1
2007-01-03,0,1
2007-01-04,0,1
2007-01-05,34,1
2007-01-06,0,1
2007-01-07,0,1
2007-01-08,26,1
2007-01-09,0,1
2007-01-10,27,1
2007-01-11,0,1
2007-01-12,0,1
2007-01-13,0,1
2007-01-14,0,1
2007-01-15,0,1
2007-01-16,0,2
2007-01-17,40,2
2007-01-18,0,2
2007-01-19,0,2
2007-01-20,0,2
2007-01-21,37,2
2007-01-22,12,2
2007-01-23,12.5,2
2007-01-24,26,2
2007-01-25,0,2
2007-01-26,15.5,2
2007-01-27,21,2
2007-01-28,0,2
2007-01-29,12,2
2007-01-30,26.5,2
2007-01-31,0,3
2007-02-01,0,3
2007-02-02,10.333333333333334,3
2007-02-03,0,3
2007-02-04,12.666666666666666,3
2007-02-05,8.666666666666666,3
2007-02-06,17.666666666666668,3
2007-02-07,18.666666666666668,3
2007-02-08,28.333333333333332,3
2007-02-09,10.666666666666666,3
2007-02-10,44,3
2007-02-11,39.666666666666664,3
2007-02-12,0,3
2007-02-13,17.666666666666668,3
2007-02-14,18.666666666666668,3
2007-02-15,13,4
2007-02-16,23,4
2007-02-17,55,4
2007-02-18,10.5,4
2007-02-19,13,4
2007-02-20,14.75,4
2007-02-21,32.5,4
2007-02-22,41.25,4
2007-02-23,21.75,4
2007-02-24,0,4
2007-02-25,0,4
2007-02-26,0,4
2007-02-27,19.25,4
2007-02-28,6.5,4
2007-03-01,32,4
2007-03-02,41.6,5
2007-03-03,0,5
2007-03-04,39.8,5
2007-03-05,19,5
2007-03-06,29.4,5
2007-03-07,5.2,5
2007-03-08,47.4,5
2007-03-09,0,5
2007-03-10,21.4,5
2007-03-11,21.4,5
2007-03-12,5.2,5
2007-03-13,25.2,5
2007-03-14,9.8,5
2007-03-15,19,5
2007-03-16,19,5
2007-03-17,5.666666666666667,6
2007-03-18,5.166666666666667,6
2007-03-19,10.5,6
2007-03-20,7.833333333333333,6
2007-03-21,82.5,6
2007-03-22,7.833333333333333,6
2007-03-23,31.833333333333332,6
2007-03-24,21.333333333333332,6
2007-03-25,33.333333333333336,6
2007-03-26,42.833333333333336,6
2007-03-27,21.166666666666668,6
2007-03-28,19.833333333333332,6
2007-03-29,0,6
2007-03-30,0,6
2007-03-31,14.833333333333334,6
2007-04-01,47.714285714285715,7
2007-04-02,0,7
2007-04-03,15.571428571428571,7
2007-04-04,29.142857142857142,7
2007-04-05,17.428571428571427,7
2007-04-06,0,7
2007-04-07,0,7
2007-04-08,0,7
2007-04-09,15.857142857142858,7
2007-04-10,16,7
2007-04-11,28,7
2007-04-12,4,7
2007-04-13,16.571428571428573,7
2007-04-14,0,7
2007-04-15,11,7
2007-04-16,25.875,8
2007-04-17,9.375,8
2007-04-18,13.125,8
2007-04-19,19.375,8
2007-04-20,3.75,8
2007-04-21,0,8
2007-04-22,14.25,8
2007-04-23,8.75,8
2007-04-24,18,8
2007-04-25,16.875,8
2007-04-26,23.625,8
2007-04-27,23.25,8
2007-04-28,17.5,8
2007-04-29,0,8
2007-04-30,27.5,8
2007-05-01,0,9
2007-05-02,9.77777777777778,9
2007-05-03,12.22222222222222,9
2007-05-04,23.22222222222222,9
2007-05-05,15.77777777777778,9
2007-05-06,0,9
2007-05-07,32.111111111111114,9
2007-05-08,13.444444444444445,9
2007-05-09,19,9
2007-05-10,20.88888888888889,9
2007-05-11,19.444444444444443,9
2007-05-12,0,9
2007-05-13,0,9
2007-05-14,28.333333333333332,9
2007-05-15,20.333333333333332,9
2007-05-16,0,10
2007-05-17,0,10
2007-05-18,48.7,10
2007-05-19,0,10
2007-05-20,0,10
2007-05-21,8.2,10
2007-05-22,4.4,10
2007-05-23,20.3,10
2007-05-24,4.7,10
2007-05-25,27.4,10
2007-05-26,4.6,10
2007-05-27,10.2,10
2007-05-28,2.7,10
2007-05-29,4.7,10
2007-05-30,0,10
2007-05-31,2.272727272727273,11
2007-06-01,30.545454545454547,11
2007-06-02,18.181818181818183,11
2007-06-03,11.363636363636363,11
2007-06-04,33.36363636363637,11
2007-06-05,21,11
2007-06-06,2.272727272727273,11
2007-06-07,0,11
2007-06-08,5.636363636363637,11
2007-06-09,4,11
2007-06-10,3.363636363636364,11
2007-06-11,0,11
2007-06-12,0,11
2007-06-13,0,11
2007-06-14,8.363636363636363,11
2007-06-15,27.416666666666668,12
2007-06-16,13.333333333333334,12
2007-06-17,3.1666666666666665,12
2007-06-18,30.583333333333332,12
2007-06-19,0,12
2007-06-20,18.916666666666668,12
2007-06-21,3,12
2007-06-22,26.833333333333332,12
2007-06-23,13.75,12
2007-06-24,18,12
2007-06-25,1.9166666666666667,12
2007-06-26,4.5,12
2007-06-27,6.75,12
2007-06-28,0,12
2007-06-29,2.5,12
2007-06-30,3.5384615384615383,13
2007-07-01,4.769230769230769,13
2007-07-02,0,12
2007-07-03,24,12
2007-07-04,10.416666666666666,12
2007-07-05,5.916666666666667,12
2007-07-06,11.833333333333334,12
2007-07-07,0,12
2007-07-08,0,12
2007-07-09,21.25,12
2007-07-10,13.25,12
2007-07-11,0,12
2007-07-12,17.166666666666668,12
2007-07-13,10.833333333333334,12
2007-07-14,11.25,12
2007-07-15,21.23076923076923,13
2007-07-16,20.76923076923077,13
2007-07-17,16.666666666666668,12
2007-07-18,0,12
2007-07-19,6.166666666666667,12
2007-07-20,44.833333333333336,12
2007-07-21,0,12
2007-07-22,27.916666666666668,12
2007-07-23,0,12
2007-07-24,7.5,12
2007-07-25,0,12
2007-07-26,16.5,12
2007-07-27,21.833333333333332,12
2007-07-28,0,12
2007-07-29,23.333333333333332,12
2007-07-30,36.76923076923077,13
2007-07-31,4.461538461538462,13
2007-08-01,6.833333333333333,12
2007-08-02,40.75,12
2007-08-03,11.75,12
2007-08-04,15.25,12
2007-08-05,0,12
2007-08-06,34.25,12
2007-08-07,0,12
2007-08-08,2.4166666666666665,12
2007-08-09,12.5,12
2007-08-10,0,12
2007-08-11,31.833333333333332,12
2007-08-12,0,12
2007-08-13,22.166666666666668,12
2007-08-14,0,13
