time,value,n
2007-01-07,11,1
2007-01-14,22,1
2007-01-21,39,1
2007-01-28,17,1
2007-02-04,30,1
2007-02-11,6,1
2007-02-18,12,1
2007-02-25,5,1
2007-03-04,33,1
2007-03-11,29,1
2007-03-18,43,1
2007-03-25,26.5,2
2007-04-01,22.5,2
2007-04-08,6.5,2
2007-04-15,11.5,2
2007-04-22,21,2
2007-04-29,21.5,2
2007-05-06,31.5,2
2007-05-13,6,2
2007-05-20,25,2
2007-05-27,19.5,2
2007-06-03,17,2
2007-06-10,17.666666666666668,3
2007-06-17,8,3
2007-06-24,21.333333333333332,3
2007-07-01,19.666666666666668,3
2007-07-08,22.666666666666668,3
2007-07-15,18.333333333333332,3
2007-07-22,25,3
2007-07-29,13.333333333333334,3
2007-08-05,12.333333333333334,3
2007-08-12,25.666666666666668,3
2007-08-19,23.333333333333332,3
2007-08-26,36.5,4
2007-09-02,32.25,4
2007-09-09,20.25,4
2007-09-16,50,4
2007-09-23,26.75,4
2007-09-30,33.5,4
2007-10-07,20,4
2007-10-14,23.25,4
2007-10-21,17.5,4
2007-10-28,42,4
2007-11-04,23.75,4
2007-11-11,21.6,5
2007-11-18,23.8,5
2007-11-25,40.8,5
2007-12-02,23.4,5
2007-12-09,33.6,5
2007-12-16,25.6,5
2007-12-23,34.4,5
2007-12-30,23.6,5
2008-01-06,17.8,5
2008-01-13,23.6,5
2008-01-20,25.4,5
2008-01-27,23.166666666666668,6
2008-02-03,32.833333333333336,6
2008-02-10,18.333333333333332,6
2008-02-17,27.166666666666668,6
2008-02-24,37.166666666666664,6
2008-03-02,26.5,6
2008-03-09,31.5,6
2008-03-16,44.166666666666664,6
2008-03-23,38.5,6
2008-03-30,17.333333333333332,6
2008-04-06,17.166666666666668,6
2008-04-13,28,7
2008-04-20,24.714285714285715,7
2008-04-27,30.714285714285715,7
2008-05-04,20.714285714285715,7
2008-05-11,17.142857142857142,7
2008-05-18,34.285714285714285,7
2008-05-25,17.571428571428573,7
2008-06-01,27.142857142857142,7
2008-06-08,30.857142857142858,7
2008-06-15,19.142857142857142,7
2008-06-22,28.714285714285715,7
2008-06-29,26.5,8
2008-07-06,22.75,8
2008-07-13,18,8
2008-07-20,16.875,8
2008-07-27,21,8
2008-08-03,22,8
2008-08-10,29.125,8
2008-08-17,24.875,8
2008-08-24,25.25,8
2008-08-31,30.125,8
2008-09-07,30.75,8
2008-09-14,35.111111111111114,9
2008-09-21,35.77777777777778,9
2008-09-28,34.666666666666664,9
2008-10-05,28.666666666666668,9
2008-10-12,22.333333333333332,9
2008-10-19,32,9
2008-10-26,24.22222222222222,9
2008-11-02,26.88888888888889,9
2008-11-09,35.888888888888886,9
2008-11-16,29.22222222222222,9
2008-11-23,36.888888888888886,9
2008-11-30,28.5,10
2008-12-07,30.8,10
2008-12-14,23.3,10
2008-12-21,32.1,10
2008-12-28,30.8,10
2009-01-04,22.8,10
2009-01-11,27.9,10
2009-01-18,24.4,10
2009-01-25,23.3,10
2009-02-01,25.8,10
2009-02-08,31.3,10
2009-02-15,29.818181818181817,11
2009-02-22,24.545454545454547,11
2009-03-01,40.09090909090909,11
2009-03-08,50.09090909090909,11
2009-03-15,33.18181818181818,11
2009-03-22,28.636363636363637,11
2009-03-29,23.727272727272727,11
2009-04-05,32.09090909090909,11
2009-04-12,22.636363636363637,11
2009-04-19,29.545454545454547,11
2009-04-26,28.90909090909091,11
2009-05-03,28.833333333333332,12
2009-05-10,22.75,12
2009-05-17,22.166666666666668,12
2009-05-24,32.583333333333336,12
2009-05-31,22.916666666666668,12
2009-06-07,27.75,12
2009-06-14,18.5,12
2009-06-21,29.333333333333332,12
2009-06-28,20.666666666666668,12
2009-07-05,22,12
2009-07-12,22.75,12
2009-07-19,14.461538461538462,13
2009-07-26,18.923076923076923,13
2009-08-02,20.76923076923077,13
2009-08-09,23.692307692307693,13
2009-08-16,30.076923076923077,13
2009-08-23,29.76923076923077,13
2009-08-30,35.30769230769231,13
2009-09-06,31.76923076923077,13
2009-09-13,33.92307692307692,13
2009-09-20,27.46153846153846,13
2009-09-27,39.30769230769231,13
2009-10-04,33.42857142857143,14
2009-10-11,30.571428571428573,14
2009-10-18,41.285714285714285,14
2009-10-25,29.5,14
2009-11-01,33.857142857142854,14
2009-11-08,29.428571428571427,14
2009-11-15,32.357142857142854,14
2009-11-22,42.714285714285715,14
2009-11-29,40,14
2009-12-06,30.857142857142858,14
2009-12-13,27.285714285714285,14
2009-12-20,24.733333333333334,15
2009-12-27,27.466666666666665,15
2010-01-03,27.533333333333335,15
2010-01-10,33.13333333333333,15
2010-01-17,30.133333333333333,15
2010-01-24,22.6,15
2010-01-31,30.066666666666663,15
2010-02-07,25.933333333333337,15
2010-02-14,22.2,15
2010-02-21,27.4,15
2010-02-28,38.333333333333336,15
2010-03-07,33.125,16
2010-03-14,39.75,16
2010-03-21,42.5,16
2010-03-28,47.1875,16
2010-04-04,27.6875,16
2010-04-11,36.375,16
2010-04-18,32.125,16
2010-04-25,41,16
2010-05-02,32.5625,16
2010-05-09,33.3125,16
2010-05-16,32.1875,16
2010-05-23,38.47058823529411,17
2010-05-30,27.294117647058822,17
2010-06-06,29.352941176470587,17
2010-06-13,26.941176470588236,17
2010-06-20,45.411764705882355,17
2010-06-27,28.352941176470587,17
2010-07-04,24.88235294117647,17
2010-07-11,26.235294117647054,17
2010-07-18,20.88235294117647,17
2010-07-25,24.352941176470587,17
2010-08-01,28.941176470588236,17
2010-08-08,28.11111111111111,18
2010-08-15,33.77777777777778,18
2010-08-22,29.72222222222222,18
2010-08-29,62.166666666666664,18
2010-09-05,56.94444444444444,18
2010-09-12,46,18
2010-09-19,43.666666666666664,18
2010-09-26,49.27777777777778,18
2010-10-03,44.888888888888886,18
2010-10-10,44.111111111111114,18
2010-10-17,45.666666666666664,18
2010-10-24,55.68421052631579,19
2010-10-31,40.89473684210526,19
2010-11-07,49.31578947368421,19
2010-11-14,50.473684210526315,19
2010-11-21,58.21052631578947,19
2010-11-28,59.36842105263158,19
2010-12-05,66.42105263157895,19
2010-12-12,57.473684210526315,19
2010-12-19,44.10526315789474,19
2010-12-26,67,19
2011-01-02,45.94736842105263,19
2011-01-09,48.95,20
2011-01-16,31.6,20
2011-01-23,31.9,20
2011-01-30,41.75,20
2011-02-06,40.25,20
2011-02-13,38.9,20
2011-02-20,43.35,20
2011-02-27,55.25,20
2011-03-06,52.2,20
2011-03-13,48.05,20
2011-03-20,55.55,20
2011-03-27,47.19047619047619,21
2011-04-03,64.0952380952381,21
2011-04-10,49.95238095238095,21
2011-04-17,53,21
2011-04-24,52.42857142857143,21
2011-05-01,55.61904761904762,21
2011-05-08,52.76190476190476,21
2011-05-15,53.80952380952381,21
2011-05-22,46.095238095238095,21
2011-05-29,48.76190476190476,21
2011-06-05,41.42857142857143,21
2011-06-12,46.31818181818182,22
2011-06-19,49.81818181818182,22
2011-06-26,44.5,22
2011-07-03,43.5,22
2011-07-10,38.31818181818182,22
2011-07-17,40.54545454545455,22
2011-07-24,51.36363636363637,22
2011-07-31,53.09090909090909,22
2011-08-07,48.5,22
2011-08-14,48.54545454545455,22
2011-08-21,55.31818181818182,22
2011-08-28,50.95652173913044,23
2011-09-04,54.869565217391305,23
2011-09-11,50.47826086956522,23
2011-09-18,77.52173913043478,23
2011-09-25,66.34782608695652,23
2011-10-02,59.47826086956522,23
2011-10-09,62.21739130434783,23
2011-10-16,74,23
2011-10-23,57.30434782608695,23
2011-10-30,59.21739130434783,23
2011-11-06,48.56521739130435,23
2011-11-13,48.958333333333336,24
2011-11-20,62.708333333333336,24
2011-11-27,56.583333333333336,24
2011-12-04,66.45833333333333,24
2011-12-11,58.541666666666664,24
2011-12-18,57.208333333333336,24
2011-12-25,74.70833333333333,24
2012-01-01,56.125,24
2012-01-08,61.21739130434783,23
2012-01-15,59.73913043478261,23
2012-01-22,58,23
2012-01-29,53.458333333333336,24
2012-02-05,50.583333333333336,24
2012-02-12,46.541666666666664,24
2012-02-19,55.708333333333336,24
2012-02-26,66.625,24
2012-03-04,73.70833333333333,24
2012-03-11,68.5,24
2012-03-18,63.125,24
2012-03-25,64,23
2012-04-01,61.130434782608695,23
2012-04-08,60.91304347826087,23
2012-04-15,55.416666666666664,24
2012-04-22,50.666666666666664,24
2012-04-29,65.29166666666667,24
2012-05-06,50.541666666666664,24
2012-05-13,58.583333333333336,24
2012-05-20,49.083333333333336,24
2012-05-27,54.291666666666664,24
2012-06-03,47.083333333333336,24
2012-06-10,54.73913043478261,23
2012-06-17,54.43478260869565,23
2012-06-24,66.26086956521739,23
2012-07-01,51.916666666666664,24
2012-07-08,48.541666666666664,24
2012-07-15,50.625,24
2012-07-22,51.333333333333336,24
2012-07-29,60.416666666666664,24
2012-08-05,57,24
2012-08-12,50.25,24
2012-08-19,62.625,24
2012-08-26,80.82608695652173,23
2012-09-02,59.391304347826086,23
2012-09-09,76.56521739130434,23
2012-09-16,74.66666666666667,24
2012-09-23,67.91666666666667,24
2012-09-30,68.04166666666667,24
2012-10-07,71.66666666666667,24
2012-10-14,70.08333333333333,24
2012-10-21,66.33333333333333,24
2012-10-28,73.625,24
2012-11-04,68.54166666666667,24
2012-11-11,65.6086956521739,23
2012-11-18,61.69565217391305,23
2012-11-25,65.47826086956522,23
2012-12-02,56.041666666666664,24
2012-12-09,65.25,24
2012-12-16,72.16666666666667,24
2012-12-23,88.45833333333333,24
2012-12-30,66.29166666666667,24
2013-01-06,52.5,24
2013-01-13,59.75,24
2013-01-20,49.541666666666664,24
2013-01-27,52.869565217391305,23
2013-02-03,53.82608695652174,23
2013-02-10,46.52173913043478,23
2013-02-17,41.5,24
2013-02-24,52.708333333333336,24
2013-03-03,57.25,24
2013-03-10,58.916666666666664,24
2013-03-17,49.75,24
2013-03-24,49.041666666666664,24
2013-03-31,51.916666666666664,24
2013-04-07,58,24
2013-04-14,58.391304347826086,23
2013-04-21,51.34782608695652,23
2013-04-28,59.73913043478261,23
2013-05-05,65.375,24
2013-05-12,49.375,24
2013-05-19,56.333333333333336,24
2013-05-26,53.125,24
2013-06-02,44.041666666666664,24
2013-06-09,45.208333333333336,24
2013-06-16,57,24
2013-06-23,47.25,24
2013-06-30,39.608695652173914,23
2013-07-07,47.130434782608695,23
2013-07-14,50.91304347826087,23
2013-07-21,40,24
2013-07-28,43.541666666666664,24
2013-08-04,40.833333333333336,24
2013-08-11,46.833333333333336,24
2013-08-18,50,24
2013-08-25,48.75,24
2013-09-01,62.166666666666664,24
2013-09-08,54.25,24
2013-09-15,53.04347826086956,23
2013-09-22,55.78260869565217,23
2013-09-29,68.6086956521739,23
2013-10-06,68.25,24
2013-10-13,59.375,24
2013-10-20,53.333333333333336,24
2013-10-27,61.541666666666664,24
2013-11-03,59.083333333333336,24
2013-11-10,59.25,24
2013-11-17,53.083333333333336,24
2013-11-24,61.958333333333336,24
2013-12-01,52.43478260869565,23
2013-12-08,60.78260869565217,23
2013-12-15,52.30434782608695,23
2013-12-22,65.79166666666667,24
2013-12-29,54.791666666666664,24
2014-01-05,52.541666666666664,24
2014-01-12,54.333333333333336,24
2014-01-19,55.208333333333336,24
2014-01-26,51.25,24
2014-02-02,51.291666666666664,24
2014-02-09,52.375,24
2014-02-16,44.82608695652174,23
2014-02-23,50.30434782608695,23
2014-03-02,51.608695652173914,23
2014-03-09,56.458333333333336,24
2014-03-16,65.95833333333333,24
2014-03-23,51.875,24
2014-03-30,53.666666666666664,24
2014-04-06,50.75,24
2014-04-13,50.958333333333336,24
2014-04-20,48.083333333333336,24
2014-04-27,46.625,24
2014-05-04,48.608695652173914,23
2014-05-11,46.04347826086956,23
2014-05-18,52.43478260869565,23
2014-05-25,47.958333333333336,24
2014-06-01,43.75,24
2014-06-08,49.166666666666664,24
2014-06-15,57.083333333333336,24
2014-06-22,49.25,24
2014-06-29,50.125,24
2014-07-06,45.208333333333336,24
2014-07-13,37.5,24
2014-07-20,47.43478260869565,23
2014-07-27,46.56521739130435,23
2014-08-03,44.52173913043478,23
2014-08-10,52.166666666666664,24
2014-08-17,63.291666666666664,24
2014-08-24,72.08333333333333,24
2014-08-31,59.541666666666664,24
2014-09-07,61.166666666666664,24
2014-09-14,58.75,24
2014-09-21,57.916666666666664,24
2014-09-28,54.541666666666664,24
2014-10-05,60.21739130434783,23
2014-10-12,58.869565217391305,23
