time,value,n
2007-01-01,55,2
2007-02-01,58,4
2007-03-01,48.8,5
2007-04-01,54.833333333333336,6
2007-05-01,48.285714285714285,7
2007-06-01,54.25,8
2007-07-01,53,9
2007-08-01,53.7,10
2007-09-01,45.36363636363637,11
2007-10-01,46.833333333333336,12
2007-11-01,46.23076923076923,13
2007-12-01,43.714285714285715,14
2008-01-01,58.07142857142857,14
2008-02-01,50.142857142857146,14
2008-03-01,52.714285714285715,14
2008-04-01,50.92857142857143,14
2008-05-01,46.07142857142857,14
2008-06-01,51.285714285714285,14
2008-07-01,53.785714285714285,14
2008-08-01,51,14
2008-09-01,53.07142857142857,14
2008-10-01,59.714285714285715,14
2008-11-01,53.5,14
2008-12-01,57.57142857142857,14
2009-01-01,73.78571428571429,14
2009-02-01,88.92857142857143,14
2009-03-01,93.07142857142857,14
2009-04-01,85.21428571428571,14
2009-05-01,81.14285714285714,14
2009-06-01,100,14
2009-07-01,83.28571428571429,14
2009-08-01,71.21428571428571,14
2009-09-01,67.42857142857143,14
2009-10-01,90.28571428571429,14
2009-11-01,77.07142857142857,14
2009-12-01,61.857142857142854,14
2010-01-01,63,14
2010-02-01,69.35714285714286,14
2010-03-01,68,14
2010-04-01,61.07142857142857,14
2010-05-01,60.5,14
2010-06-01,59.142857142857146,14
2010-07-01,51.285714285714285,14
2010-08-01,53.42857142857143,14
2010-09-01,55.785714285714285,14
2010-10-01,54.142857142857146,14
2010-11-01,56.57142857142857,14
2010-12-01,47.857142857142854,14
2011-01-01,64.85714285714286,14
2011-02-01,66.28571428571429,14
2011-03-01,67.35714285714286,14
2011-04-01,62.92857142857143,14
2011-05-01,63.92857142857143,14
2011-06-01,71.14285714285714,14
2011-07-01,60.07142857142857,14
2011-08-01,59.214285714285715,14
2011-09-01,58.357142857142854,14
2011-10-01,56.57142857142857,14
2011-11-01,69.71428571428571,14
2011-12-01,65.28571428571429,14
2012-01-01,82.07142857142857,14
2012-02-01,71.21428571428571,14
2012-03-01,78,14
2012-04-01,64.5,14
2012-05-01,63.92857142857143,14
2012-06-01,69.14285714285714,14
2012-07-01,85.07142857142857,14
2012-08-01,71.28571428571429,14
2012-09-01,72.64285714285714,14
2012-10-01,74.14285714285714,14
2012-11-01,77.21428571428571,14
2012-12-01,60.42857142857143,14
2013-01-01,70.07142857142857,14
2013-02-01,76,14
2013-03-01,68.21428571428571,14
2013-04-01,76.42857142857143,14
2013-05-01,66.71428571428571,14
2013-06-01,79.92857142857143,14
2013-07-01,86.57142857142857,14
2013-08-01,55.357142857142854,14
2013-09-01,45.285714285714285,14
2013-10-01,44.357142857142854,14
2013-11-01,42.07142857142857,14
2013-12-01,34.5,14
2014-01-01,52.785714285714285,14
2014-02-01,45.57142857142857,14
2014-03-01,41.142857142857146,14
2014-04-01,36.785714285714285,14
2014-05-01,38.714285714285715,14
2014-06-01,35,14
2014-07-01,42.142857142857146,14
2014-08-01,37.642857142857146,14
2014-09-01,37.42857142857143,14
2014-10-01,36.642857142857146,14
2014-11-01,37.785714285714285,14
2014-12-01,34.92857142857143,14
2015-01-01,36.42857142857143,14
2015-02-01,36.92857142857143,14
2015-03-01,38.142857142857146,14
2015-04-01,38.214285714285715,14
2015-05-01,33.142857142857146,14
2015-06-01,36.357142857142854,14
2015-07-01,36.714285714285715,14
2015-08-01,38.714285714285715,14
2015-09-01,34.714285714285715,14
2015-10-01,32.642857142857146,14
2015-11-01,31,14
2015-12-01,31.571428571428573,14
2016-01-01,33.857142857142854,14
2016-02-01,35.42857142857143,14
2016-03-01,33.357142857142854,14
2016-04-01,35.642857142857146,14
2016-05-01,30.285714285714285,14
2016-06-01,31.214285714285715,14
2016-07-01,40.57142857142857,14
2016-08-01,36.714285714285715,14
2016-09-01,39.07142857142857,14
2016-10-01,34.214285714285715,14
2016-11-01,34.57142857142857,14
2016-12-01,29.785714285714285,14
2017-01-01,33.785714285714285,14
2017-02-01,36.07142857142857,14
2017-03-01,33.357142857142854,14
2017-04-01,31.714285714285715,14
2017-05-01,35.785714285714285,14
2017-06-01,35,14
2017-07-01,31.071428571428573,14
2017-08-01,39.357142857142854,14
2017-09-01,33.642857142857146,14
2017-10-01,35.57142857142857,14
2017-11-01,32.214285714285715,14
2017-12-01,33.07142857142857,14
2018-01-01,30.857142857142858,14
2018-02-01,29.857142857142858,14
2018-03-01,31.642857142857142,14
2018-04-01,31.142857142857142,14
2018-05-01,27.428571428571427,14
2018-06-01,25.928571428571427,14
2018-07-01,26.642857142857142,14
2018-08-01,27.357142857142858,14
2018-09-01,26.714285714285715,14
2018-10-01,29.071428571428573,14
2018-11-01,28.142857142857142,14
2018-12-01,27.785714285714285,14
2019-01-01,34.285714285714285,14
2019-02-01,50.785714285714285,14
2019-03-01,30.642857142857142,14
2019-04-01,32.57142857142857,14
2019-05-01,28.928571428571427,14
2019-06-01,25.428571428571427,14
2019-07-01,28.357142857142858,14
2019-08-01,28.642857142857142,14
2019-09-01,46.92857142857143,14
2019-10-01,36.857142857142854,14
2019-11-01,31.714285714285715,14
2019-12-01,29.571428571428573,14
2020-01-01,27.928571428571427,14
2020-02-01,31.285714285714285,14
2020-03-01,33.214285714285715,14
2020-04-01,39.714285714285715,14
2020-05-01,36.07142857142857,14
2020-06-01,40.42857142857143,14
2020-07-01,32.5,14
2020-08-01,28.285714285714285,14
2020-09-01,32.357142857142854,14
2020-10-01,27.642857142857142,14
2020-11-01,23,14
2020-12-01,23.142857142857142,14
2021-01-01,29.857142857142858,14
