time,value,n
2007-01-01,0,2
2007-02-01,0,4
2007-03-01,0,5
2007-04-01,0,6
2007-05-01,0,7
2007-06-01,0,8
2007-07-01,0,9
2007-08-01,0,10
2007-09-01,0,11
2007-10-01,0,12
2007-11-01,0.15384615384615385,13
2007-12-01,0,14
2008-01-01,0,14
2008-02-01,0,14
2008-03-01,0,14
2008-04-01,0,14
2008-05-01,0,14
2008-06-01,0,14
2008-07-01,0.14285714285714285,14
2008-08-01,0,14
2008-09-01,0.5,14
2008-10-01,2,14
2008-11-01,3.7857142857142856,14
2008-12-01,5.142857142857143,14
2009-01-01,10.5,14
2009-02-01,14.285714285714286,14
2009-03-01,14.214285714285714,14
2009-04-01,11.214285714285714,14
2009-05-01,8.785714285714286,14
2009-06-01,7.285714285714286,14
2009-07-01,6.714285714285714,14
2009-08-01,4.714285714285714,14
2009-09-01,4.928571428571429,14
2009-10-01,4,14
2009-11-01,4.214285714285714,14
2009-12-01,3,14
2010-01-01,3.2142857142857144,14
2010-02-01,3.2142857142857144,14
2010-03-01,2.5,14
2010-04-01,2.142857142857143,14
2010-05-01,2,14
2010-06-01,1.1428571428571428,14
2010-07-01,1,14
2010-08-01,1,14
2010-09-01,1,14
2010-10-01,1,14
2010-11-01,1,14
2010-12-01,1,14
2011-01-01,1,14
2011-02-01,1,14
2011-03-01,1,14
2011-04-01,0.8571428571428571,14
2011-05-01,1,14
2011-06-01,0.7857142857142857,14
2011-07-01,0.42857142857142855,14
2011-08-01,0.14285714285714285,14
2011-09-01,0.9285714285714286,14
2011-10-01,1,14
2011-11-01,1,14
2011-12-01,0.7857142857142857,14
2012-01-01,1,14
2012-02-01,1,14
2012-03-01,1,14
2012-04-01,1,14
2012-05-01,0.21428571428571427,14
2012-06-01,0.5714285714285714,14
2012-07-01,0.8571428571428571,14
2012-08-01,1,14
2012-09-01,1,14
2012-10-01,1,14
2012-11-01,1,14
2012-12-01,1,14
2013-01-01,1,14
2013-02-01,1,14
2013-03-01,1,14
2013-04-01,1,14
2013-05-01,0.35714285714285715,14
2013-06-01,1,14
2013-07-01,0.9285714285714286,14
2013-08-01,0.07142857142857142,14
2013-09-01,0.7857142857142857,14
2013-10-01,1,14
2013-11-01,1,14
2013-12-01,0.07142857142857142,14
2014-01-01,1,14
2014-02-01,0.42857142857142855,14
2014-03-01,0,14
2014-04-01,1,14
2014-05-01,0.21428571428571427,14
2014-06-01,0,14
2014-07-01,0,14
2014-08-01,0,14
2014-09-01,1,14
2014-10-01,1,14
2014-11-01,1,14
2014-12-01,0.5714285714285714,14
2015-01-01,1,14
2015-02-01,1,14
2015-03-01,0.8571428571428571,14
2015-04-01,0.42857142857142855,14
2015-05-01,0,14
2015-06-01,0.6428571428571429,14
2015-07-01,0,14
2015-08-01,0,14
2015-09-01,0.2857142857142857,14
2015-10-01,1,14
2015-11-01,0.8571428571428571,14
2015-12-01,0.07142857142857142,14
2016-01-01,0.21428571428571427,14
2016-02-01,1,14
2016-03-01,0.35714285714285715,14
2016-04-01,0.2857142857142857,14
2016-05-01,0,14
2016-06-01,0.35714285714285715,14
2016-07-01,0,14
2016-08-01,1.2857142857142858,14
2016-09-01,0,14
2016-10-01,0,14
2016-11-01,0.14285714285714285,14
2016-12-01,0,14
2017-01-01,0.7857142857142857,14
2017-02-01,0.07142857142857142,14
2017-03-01,0,14
2017-04-01,0,14
2017-05-01,0,14
2017-06-01,0,14
2017-07-01,0,14
2017-08-01,0,14
2017-09-01,0,14
2017-10-01,0,14
2017-11-01,0,14
2017-12-01,0,14
2018-01-01,0,14
2018-02-01,0,14
2018-03-01,0,14
2018-04-01,0,14
2018-05-01,0,14
2018-06-01,0,14
2018-07-01,0,14
2018-08-01,0,14
2018-09-01,0,14
2018-10-01,0,14
2018-11-01,0.7142857142857143,14
2018-12-01,0,14
2019-01-01,0,14
2019-02-01,1,14
2019-03-01,0.7857142857142857,14
2019-04-01,0.21428571428571427,14
2019-05-01,1,14
2019-06-01,0.6428571428571429,14
2019-07-01,1,14
2019-08-01,1.2142857142857142,14
2019-09-01,1.8571428571428572,14
2019-10-01,2,14
2019-11-01,1.2142857142857142,14
2019-12-01,1,14
2020-01-01,1.5,14
2020-02-01,1.6428571428571428,14
2020-03-01,100,14
2020-04-01,59.714285714285715,14
2020-05-01,27.714285714285715,14
2020-06-01,17.571428571428573,14
2020-07-01,12,14
2020-08-01,9.214285714285714,14
2020-09-01,8.071428571428571,14
2020-10-01,8,14
2020-11-01,8.857142857142858,14
2020-12-01,8.357142857142858,14
2021-01-01,12.214285714285714,14
2021-02-01,9.142857142857142,14
2021-03-01,8,14
2021-04-01,6.071428571428571,14
2021-05-01,5,14
2021-06-01,4,14
2021-07-01,3.142857142857143,14
