time,value,n
2007-01-07,0,1
2007-01-14,1,1
2007-01-21,1,1
2007-01-28,0,1
2007-02-04,2,1
2007-02-11,0,1
2007-02-18,1,1
2007-02-25,3,1
2007-03-04,2,1
2007-03-11,2,1
2007-03-18,3,1
2007-03-25,3,2
2007-04-01,1,2
2007-04-08,0.5,2
2007-04-15,0.5,2
2007-04-22,0,2
2007-04-29,0,2
2007-05-06,1,2
2007-05-13,1,2
2007-05-20,0.5,2
2007-05-27,0,2
2007-06-03,1,2
2007-06-10,2,3
2007-06-17,1.3333333333333333,3
2007-06-24,0.6666666666666666,3
2007-07-01,0.3333333333333333,3
2007-07-08,2.3333333333333335,3
2007-07-15,1.6666666666666667,3
2007-07-22,0.6666666666666666,3
2007-07-29,0,3
2007-08-05,0.6666666666666666,3
2007-08-12,1.6666666666666667,3
2007-08-19,0,3
2007-08-26,1.5,4
2007-09-02,1.75,4
2007-09-09,0.75,4
2007-09-16,1,4
2007-09-23,0.5,4
2007-09-30,2,4
2007-10-07,2.75,4
2007-10-14,3,4
2007-10-21,1.75,4
2007-10-28,0.75,4
2007-11-04,1.75,4
2007-11-11,1.4,5
2007-11-18,3.4,5
2007-11-25,2.4,5
2007-12-02,0.8,5
2007-12-09,1.6,5
2007-12-16,3.4,5
2007-12-23,0.6,5
2007-12-30,0.2,5
2008-01-06,2.6,5
2008-01-13,1.6,5
2008-01-20,1.2,5
2008-01-27,2.1666666666666665,6
2008-02-03,2,6
2008-02-10,0.16666666666666666,6
2008-02-17,0.8333333333333334,6
2008-02-24,1.5,6
2008-03-02,2.1666666666666665,6
2008-03-09,1.3333333333333333,6
2008-03-16,1,6
2008-03-23,0.8333333333333334,6
2008-03-30,1.3333333333333333,6
2008-04-06,1.6666666666666667,6
2008-04-13,3,7
2008-04-20,0.7142857142857143,7
2008-04-27,2.2857142857142856,7
2008-05-04,3.2857142857142856,7
2008-05-11,0.42857142857142855,7
2008-05-18,1,7
2008-05-25,1.4285714285714286,7
2008-06-01,1.1428571428571428,7
2008-06-08,1.8571428571428572,7
2008-06-15,1.1428571428571428,7
2008-06-22,3.2857142857142856,7
2008-06-29,2.75,8
2008-07-06,2.125,8
2008-07-13,1.125,8
2008-07-20,1.25,8
2008-07-27,1.875,8
2008-08-03,1.5,8
2008-08-10,1.125,8
2008-08-17,3.5,8
2008-08-24,1.25,8
2008-08-31,3.75,8
2008-09-07,1.5,8
2008-09-14,2.6666666666666665,9
2008-09-21,2.7777777777777777,9
2008-09-28,1.7777777777777777,9
2008-10-05,6.333333333333333,9
2008-10-12,7.777777777777778,9
2008-10-19,10.22222222222222,9
2008-10-26,20.555555555555557,9
2008-11-02,14.88888888888889,9
2008-11-09,18.444444444444443,9
2008-11-16,29.333333333333332,9
2008-11-23,28.22222222222222,9
2008-11-30,30.2,10
2008-12-07,49.9,10
2008-12-14,28.6,10
2008-12-21,9.2,10
2008-12-28,10.5,10
2009-01-04,33.8,10
2009-01-11,59.8,10
2009-01-18,82.3,10
2009-01-25,78.7,10
2009-02-01,75.9,10
2009-02-08,71,10
2009-02-15,81.18181818181819,11
2009-02-22,99.9090909090909,11
2009-03-01,89.9090909090909,11
2009-03-08,85.63636363636364,11
2009-03-15,77.63636363636364,11
2009-03-22,80.54545454545455,11
2009-03-29,83.36363636363636,11
