time,value,n
2007-01-01,2,5
2007-02-01,4,10
2007-03-01,5.818181818181818,11
2007-04-01,3,12
2007-05-01,4.461538461538462,13
2007-06-01,0.7857142857142857,14
2007-07-01,1.0000000000000002,15
2007-08-01,6.875,16
2007-09-01,4.470588235294118,17
2007-10-01,4.166666666666667,18
2007-11-01,2.6315789473684212,19
2007-12-01,4.6,20
2008-01-01,6.15,20
2008-02-01,3.7,20
2008-03-01,4.3,20
2008-04-01,2.9,20
2008-05-01,3.9,20
2008-06-01,4.95,20
2008-07-01,2.35,20
2008-08-01,3.7,20
2008-09-01,9.199999999999998,20
2008-10-01,46.75,20
2008-11-01,36,20
2008-12-01,43.15,20
2009-01-01,70.8,20
2009-02-01,83.1,20
2009-03-01,99.34999999999998,20
2009-04-01,82.15,20
2009-05-01,87.35,20
2009-06-01,67.1,20
2009-07-01,44.75,20
2009-08-01,32.75,20
2009-09-01,38.25,20
2009-10-01,38.5,20
2009-11-01,44.8,20
2009-12-01,31.65,20
2010-01-01,30.85,20
2010-02-01,29.95,20
2010-03-01,25.95,20
2010-04-01,20.85,20
2010-05-01,33.25,20
2010-06-01,23.1,20
2010-07-01,8.8,20
2010-08-01,11.45,20
2010-09-01,15.2,20
2010-10-01,14.45,20
2010-11-01,14.05,20
2010-12-01,13.55,20
2011-01-01,19.35,20
2011-02-01,15.6,20
2011-03-01,14.700000000000003,20
2011-04-01,10.85,20
2011-05-01,16.5,20
2011-06-01,11.85,20
2011-07-01,8.5,20
2011-08-01,17.35,20
2011-09-01,17.5,20
2011-10-01,16.95,20
2011-11-01,21.75,20
2011-12-01,15.05,20
2012-01-01,14.9,20
2012-02-01,12.9,20
2012-03-01,13.050000000000002,20
2012-04-01,8.15,20
2012-05-01,11.4,20
2012-06-01,11.05,20
2012-07-01,9.750000000000004,20
2012-08-01,8.35,20
2012-09-01,11.55,20
2012-10-01,11,20
2012-11-01,16.65,20
2012-12-01,8.2,20
2013-01-01,7.95,20
2013-02-01,10.05,20
2013-03-01,11.2,20
2013-04-01,9.1,20
2013-05-01,8.65,20
2013-06-01,9.2,20
2013-07-01,5.45,20
2013-08-01,4.45,20
2013-09-01,8,20
2013-10-01,9.599999999999998,20
2013-11-01,8.8,20
2013-12-01,8.3,20
2014-01-01,8.1,20
2014-02-01,7.8,20
2014-03-01,11.699999999999998,20
2014-04-01,5.75,20
2014-05-01,10.25,20
2014-06-01,9.55,20
2014-07-01,6.4,20
2014-08-01,3.65,20
2014-09-01,6.25,20
2014-10-01,8.55,20
2014-11-01,9.8,20
2014-12-01,7.2,20
2015-01-01,8.75,20
2015-02-01,7.9,20
2015-03-01,8.3,20
2015-04-01,7.15,20
2015-05-01,6.55,20
2015-06-01,7.55,20
2015-07-01,5.15,20
2015-08-01,5.35,20
2015-09-01,7.8,20
2015-10-01,7.7,20
2015-11-01,6.75,20
2015-12-01,5.95,20
2016-01-01,10.6,20
2016-02-01,8.9,20
2016-03-01,7.85,20
2016-04-01,7.1,20
2016-05-01,6.35,20
2016-06-01,7.25,20
2016-07-01,2.9,20
2016-08-01,4.15,20
2016-09-01,5.4,20
2016-10-01,6.9,20
2016-11-01,6.65,20
2016-12-01,5.15,20
2017-01-01,6.05,20
2017-02-01,6.2,20
2017-03-01,7.55,20
2017-04-01,5.65,20
2017-05-01,6.45,20
2017-06-01,4.95,20
2017-07-01,4.3,20
2017-08-01,2.25,20
2017-09-01,5.2,20
2017-10-01,4.35,20
2017-11-01,4.7,20
2017-12-01,5.55,20
2018-01-01,6.2,20
2018-02-01,4.95,20
2018-03-01,5.95,20
2018-04-01,6.65,20
2018-05-01,5.35,20
2018-06-01,5.45,20
2018-07-01,4.25,20
2018-08-01,6.55,20
2018-09-01,8.1,20
2018-10-01,7.7,20
2018-11-01,8.05,20
2018-12-01,5.3,20
2019-01-01,6.5,20
2019-02-01,7.6,20
2019-03-01,8.45,20
2019-04-01,5.05,20
2019-05-01,7.6,20
2019-06-01,5.7,20
2019-07-01,7.3,20
2019-08-01,8.4,20
2019-09-01,9.5,20
2019-10-01,8.35,20
2019-11-01,10.3,20
2019-12-01,6.15,20
2020-01-01,6.85,20
2020-02-01,9.5,20
2020-03-01,57.8,20
2020-04-01,27,20
2020-05-01,18.05,20
2020-06-01,12.399999999999997,20
2020-07-01,9.45,20
2020-08-01,8.25,20
2020-09-01,7.15,20
2020-10-01,9.2,20
2020-11-01,7.8,20
2020-12-01,7.2,20
2021-01-01,10.55,20
2021-02-01,8.35,20
2021-03-01,8.3,20
2021-04-01,8.95,20
2021-05-01,4.5,20
2021-06-01,5.7,20
2021-07-01,2.5,20
2021-08-01,2.5,2
2021-09-01,2,2
