time,value,n
2007-01-07,0,1
2007-01-14,5,1
2007-01-21,0,1
2007-01-28,0,1
2007-02-04,0,1
2007-02-11,0,1
2007-02-18,0,1
2007-02-25,9,1
2007-03-04,19,1
2007-03-11,0,1
2007-03-18,5,1
2007-03-25,4.5,2
2007-04-01,2.5,2
2007-04-08,2.5,2
2007-04-15,2.5,2
2007-04-22,0,2
2007-04-29,2,2
2007-05-06,4,2
2007-05-13,2,2
2007-05-20,4.5,2
2007-05-27,0,2
2007-06-03,4.5,2
2007-06-10,1.3333333333333333,3
2007-06-17,0,3
2007-06-24,0,3
2007-07-01,2.6666666666666665,3
2007-07-08,0,3
2007-07-15,3.3333333333333335,3
2007-07-22,0,3
2007-07-29,1.6666666666666667,3
2007-08-05,0,3
2007-08-12,12,3
2007-08-19,9.666666666666666,3
2007-08-26,4.25,4
2007-09-02,2,4
2007-09-09,0,4
2007-09-16,6.25,4
2007-09-23,5.5,4
2007-09-30,1,4
2007-10-07,4.5,4
2007-10-14,1.75,4
2007-10-21,2.75,4
2007-10-28,1,4
2007-11-04,1.75,4
2007-11-11,7.2,5
2007-11-18,3.4,5
2007-11-25,4.8,5
2007-12-02,5,5
2007-12-09,9.2,5
2007-12-16,0,5
2007-12-23,1.6,5
2007-12-30,0.8,5
2008-01-06,4.6,5
2008-01-13,10,5
2008-01-20,4.8,5
2008-01-27,7.666666666666667,6
2008-02-03,2.8333333333333335,6
2008-02-10,3.6666666666666665,6
2008-02-17,1.8333333333333333,6
2008-02-24,1.6666666666666667,6
2008-03-02,1.5,6
2008-03-09,7.333333333333333,6
2008-03-16,7.833333333333333,6
2008-03-23,4.333333333333333,6
2008-03-30,1,6
2008-04-06,0.5,6
2008-04-13,2.142857142857143,7
2008-04-20,2.4285714285714284,7
2008-04-27,4.714285714285714,7
2008-05-04,1.5714285714285714,7
2008-05-11,1.8571428571428572,7
2008-05-18,2.4285714285714284,7
2008-05-25,7,7
2008-06-01,6.142857142857143,7
2008-06-08,3.5714285714285716,7
2008-06-15,1.7142857142857142,7
2008-06-22,1.8571428571428572,7
2008-06-29,2.125,8
2008-07-06,0.375,8
2008-07-13,0.375,8
2008-07-20,0.875,8
2008-07-27,1.875,8
2008-08-03,3.875,8
2008-08-10,0,8
2008-08-17,6.25,8
2008-08-24,2.625,8
2008-08-31,8.625,8
2008-09-07,5.875,8
2008-09-14,6.333333333333333,9
2008-09-21,8.555555555555555,9
2008-09-28,16.88888888888889,9
2008-10-05,55.77777777777778,9
2008-10-12,36.22222222222222,9
2008-10-19,30.555555555555557,9
2008-10-26,29.666666666666668,9
2008-11-02,24.444444444444443,9
2008-11-09,27.444444444444443,9
2008-11-16,32.55555555555556,9
2008-11-23,37.333333333333336,9
2008-11-30,32.5,10
2008-12-07,57.6,10
2008-12-14,35.4,10
2008-12-21,25.6,10
2008-12-28,18.4,10
2009-01-04,56.5,10
2009-01-11,65.2,10
2009-01-18,61.5,10
2009-01-25,65.9,10
2009-02-01,52.3,10
2009-02-08,66.1,10
2009-02-15,83,11
2009-02-22,70.0909090909091,11
2009-03-01,76.9090909090909,11
2009-03-08,90.45454545454545,11
2009-03-15,75.45454545454545,11
2009-03-22,88.45454545454545,11
2009-03-29,68.27272727272727,11
2009-04-05,52.36363636363637,11
2009-04-12,54.18181818181818,11
2009-04-19,79.18181818181819,11
2009-04-26,77.9090909090909,11
2009-05-03,77.91666666666667,12
2009-05-10,75.16666666666667,12
2009-05-17,58.416666666666664,12
2009-05-24,69.5,12
2009-05-31,51.5,12
2009-06-07,70,12
2009-06-14,57.25,12
2009-06-21,61.75,12
2009-06-28,39.166666666666664,12
2009-07-05,47.25,12
2009-07-12,37.75,12
2009-07-19,32.53846153846154,13
2009-07-26,29.384615384615383,13
2009-08-02,29.153846153846153,13
2009-08-09,30.76923076923077,13
2009-08-16,28.53846153846154,13
2009-08-23,32.61538461538461,13
2009-08-30,32.46153846153846,13
2009-09-06,29.615384615384617,13
2009-09-13,29,13
2009-09-20,39.69230769230769,13
2009-09-27,28.384615384615383,13
2009-10-04,26.214285714285715,14
2009-10-11,30.428571428571427,14
2009-10-18,40.5,14
2009-10-25,44.07142857142857,14
2009-11-01,51.214285714285715,14
2009-11-08,44.07142857142857,14
2009-11-15,40.42857142857143,14
2009-11-22,32,14
2009-11-29,36.07142857142857,14
2009-12-06,31.071428571428573,14
2009-12-13,30.5,14
2009-12-20,31.266666666666666,15
2009-12-27,28.933333333333334,15
2010-01-03,35.86666666666667,15
2010-01-10,24.333333333333332,15
2010-01-17,32.266666666666666,15
2010-01-24,23.6,15
2010-01-31,31.933333333333334,15
2010-02-07,33.6,15
2010-02-14,27.2,15
2010-02-21,26.333333333333332,15
2010-02-28,30.133333333333333,15
2010-03-07,32.375,16
2010-03-14,28.125,16
2010-03-21,26.5,16
2010-03-28,22.125,16
2010-04-04,15.75,16
2010-04-11,23.125,16
2010-04-18,16.625,16
2010-04-25,42.1875,16
2010-05-02,45.3125,16
2010-05-09,28.0625,16
2010-05-16,32.4375,16
2010-05-23,33.23529411764706,17
2010-05-30,38.23529411764706,17
2010-06-06,23.764705882352942,17
2010-06-13,34.05882352941177,17
2010-06-20,26.58823529411765,17
2010-06-27,16.058823529411764,17
2010-07-04,17.58823529411765,17
2010-07-11,6.176470588235294,17
2010-07-18,8.235294117647058,17
2010-07-25,10.705882352941176,17
2010-08-01,20.11764705882353,17
2010-08-08,20.166666666666668,18
2010-08-15,13.38888888888889,18
2010-08-22,12.11111111111111,18
2010-08-29,12.61111111111111,18
2010-09-05,21.055555555555557,18
2010-09-12,19.944444444444443,18
2010-09-19,20.11111111111111,18
2010-09-26,19.944444444444443,18
2010-10-03,23.5,18
2010-10-10,12.222222222222221,18
2010-10-17,23.444444444444443,18
2010-10-24,24.894736842105264,19
2010-10-31,23.473684210526315,19
2010-11-07,18.57894736842105,19
2010-11-14,17.842105263157894,19
2010-11-21,28.842105263157894,19
2010-11-28,16.63157894736842,19
2010-12-05,28.210526315789473,19
2010-12-12,20.57894736842105,19
2010-12-19,16.68421052631579,19
2010-12-26,12.842105263157896,19
2011-01-02,20.31578947368421,19
2011-01-09,30.6,20
2011-01-16,33.55,20
2011-01-23,28.25,20
2011-01-30,25,20
2011-02-06,21.85,20
2011-02-13,23.75,20
2011-02-20,31.3,20
2011-02-27,19.25,20
2011-03-06,28.95,20
2011-03-13,27.1,20
2011-03-20,23.35,20
2011-03-27,23.904761904761905,21
2011-04-03,26.904761904761905,21
2011-04-10,18.428571428571427,21
2011-04-17,11.380952380952381,21
2011-04-24,20.857142857142858,21
2011-05-01,22.428571428571427,21
2011-05-08,11.80952380952381,21
2011-05-15,36.23809523809524,21
2011-05-22,22.714285714285715,21
2011-05-29,27.428571428571427,21
2011-06-05,20.285714285714285,21
2011-06-12,15.727272727272727,22
2011-06-19,22.90909090909091,22
2011-06-26,23,22
2011-07-03,14.272727272727273,22
2011-07-10,15.409090909090908,22
2011-07-17,21.045454545454547,22
2011-07-24,21.90909090909091,22
2011-07-31,21.90909090909091,22
2011-08-07,44.68181818181818,22
2011-08-14,20.045454545454547,22
2011-08-21,25.636363636363637,22
2011-08-28,23.82608695652174,23
2011-09-04,27.565217391304348,23
2011-09-11,33.17391304347826,23
2011-09-18,30.869565217391305,23
2011-09-25,31.652173913043477,23
2011-10-02,33.65217391304348,23
2011-10-09,26.782608695652176,23
2011-10-16,35.95652173913044,23
2011-10-23,37.130434782608695,23
2011-10-30,29.782608695652176,23
2011-11-06,27.565217391304348,23
2011-11-13,37.458333333333336,24
2011-11-20,43.041666666666664,24
2011-11-27,37.625,24
2011-12-04,38.541666666666664,24
2011-12-11,28.333333333333332,24
2011-12-18,34.708333333333336,24
2011-12-25,16.208333333333332,24
2012-01-01,23.375,24
2012-01-08,27.217391304347824,23
2012-01-15,37.17391304347826,23
2012-01-22,26.47826086956522,23
2012-01-29,32.625,24
2012-02-05,32.791666666666664,24
2012-02-12,18.125,24
2012-02-19,21.333333333333332,24
2012-02-26,29.583333333333332,24
2012-03-04,26.833333333333332,24
2012-03-11,21.625,24
2012-03-18,29.708333333333332,24
2012-03-25,23.26086956521739,23
2012-04-01,13.478260869565217,23
2012-04-08,21.782608695652176,23
2012-04-15,23.25,24
2012-04-22,16.875,24
2012-04-29,35.458333333333336,24
2012-05-06,17.916666666666668,24
2012-05-13,26.875,24
2012-05-20,26.75,24
2012-05-27,21.25,24
2012-06-03,16.375,24
2012-06-10,35.21739130434783,23
2012-06-17,28.82608695652174,23
2012-06-24,25.08695652173913,23
2012-07-01,19.541666666666668,24
2012-07-08,29.041666666666668,24
2012-07-15,8.541666666666666,24
2012-07-22,19.375,24
2012-07-29,26.791666666666668,24
2012-08-05,13.208333333333334,24
2012-08-12,20,24
2012-08-19,18.875,24
2012-08-26,15.173913043478262,23
2012-09-02,20.82608695652174,23
2012-09-09,26.91304347826087,23
2012-09-16,21.75,24
2012-09-23,31.416666666666668,24
2012-09-30,32.291666666666664,24
2012-10-07,23.833333333333332,24
2012-10-14,35.583333333333336,24
2012-10-21,29.083333333333332,24
2012-10-28,28.791666666666668,24
2012-11-04,50.875,24
2012-11-11,36.56521739130435,23
2012-11-18,44.82608695652174,23
2012-11-25,31.782608695652176,23
2012-12-02,32.291666666666664,24
2012-12-09,25.333333333333332,24
2012-12-16,15.625,24
2012-12-23,6.666666666666667,24
2012-12-30,22.375,24
2013-01-06,27.791666666666668,24
2013-01-13,27.333333333333332,24
