time,value,n
2007-01-01,58,2
2007-02-01,59.5,4
2007-03-01,54.6,5
2007-04-01,45.833333333333336,6
2007-05-01,47.142857142857146,7
2007-06-01,57.125,8
2007-07-01,45.22222222222222,9
2007-08-01,43,10
2007-09-01,52.90909090909091,11
2007-10-01,55.25,12
2007-11-01,46.53846153846154,13
2007-12-01,44.07142857142857,14
2008-01-01,55.5,14
2008-02-01,48.714285714285715,14
2008-03-01,47,14
2008-04-01,46.785714285714285,14
2008-05-01,45.285714285714285,14
2008-06-01,48.214285714285715,14
2008-07-01,41.357142857142854,14
2008-08-01,46.785714285714285,14
2008-09-01,49.07142857142857,14
2008-10-01,46.857142857142854,14
2008-11-01,50.42857142857143,14
2008-12-01,46.92857142857143,14
2009-01-01,55.42857142857143,14
2009-02-01,62.142857142857146,14
2009-03-01,61.57142857142857,14
2009-04-01,49.357142857142854,14
2009-05-01,51.214285714285715,14
2009-06-01,54.642857142857146,14
2009-07-01,55.5,14
2009-08-01,55.214285714285715,14
2009-09-01,55.714285714285715,14
2009-10-01,46.92857142857143,14
2009-11-01,58.857142857142854,14
2009-12-01,45,14
2010-01-01,54.642857142857146,14
2010-02-01,56.07142857142857,14
2010-03-01,53,14
2010-04-01,48,14
2010-05-01,43.857142857142854,14
2010-06-01,49.357142857142854,14
2010-07-01,47.92857142857143,14
2010-08-01,44.857142857142854,14
2010-09-01,45,14
2010-10-01,40.07142857142857,14
2010-11-01,41.285714285714285,14
2010-12-01,37.42857142857143,14
2011-01-01,59.92857142857143,14
2011-02-01,59.92857142857143,14
2011-03-01,53.07142857142857,14
2011-04-01,49.357142857142854,14
2011-05-01,54.357142857142854,14
2011-06-01,50,14
2011-07-01,63.07142857142857,14
2011-08-01,53.142857142857146,14
2011-09-01,53.57142857142857,14
2011-10-01,56.357142857142854,14
2011-11-01,50.92857142857143,14
2011-12-01,45.57142857142857,14
2012-01-01,62.5,14
2012-02-01,52.357142857142854,14
2012-03-01,55.142857142857146,14
2012-04-01,54,14
2012-05-01,51.5,14
2012-06-01,56.5,14
2012-07-01,61.642857142857146,14
2012-08-01,57.285714285714285,14
2012-09-01,59.92857142857143,14
2012-10-01,54.214285714285715,14
2012-11-01,55.57142857142857,14
2012-12-01,44.214285714285715,14
2013-01-01,62.857142857142854,14
2013-02-01,58.5,14
2013-03-01,55.785714285714285,14
2013-04-01,63.92857142857143,14
2013-05-01,57.57142857142857,14
2013-06-01,66.42857142857143,14
2013-07-01,62.785714285714285,14
2013-08-01,54.92857142857143,14
2013-09-01,62,14
2013-10-01,58.42857142857143,14
2013-11-01,59.714285714285715,14
2013-12-01,50.57142857142857,14
2014-01-01,67.57142857142857,14
2014-02-01,68.78571428571429,14
2014-03-01,67.42857142857143,14
2014-04-01,60.214285714285715,14
2014-05-01,67.92857142857143,14
2014-06-01,69.92857142857143,14
2014-07-01,77.57142857142857,14
2014-08-01,69.71428571428571,14
2014-09-01,72.85714285714286,14
2014-10-01,66.57142857142857,14
2014-11-01,61.642857142857146,14
2014-12-01,56.785714285714285,14
2015-01-01,71.14285714285714,14
2015-02-01,69.92857142857143,14
2015-03-01,72.28571428571429,14
2015-04-01,65,14
2015-05-01,64.64285714285714,14
2015-06-01,72,14
2015-07-01,80.35714285714286,14
2015-08-01,73.42857142857143,14
2015-09-01,68.21428571428571,14
2015-10-01,69.21428571428571,14
2015-11-01,56.07142857142857,14
2015-12-01,59.57142857142857,14
2016-01-01,67.64285714285714,14
2016-02-01,70.57142857142857,14
2016-03-01,68.14285714285714,14
2016-04-01,67.78571428571429,14
2016-05-01,64.57142857142857,14
2016-06-01,66.21428571428571,14
2016-07-01,68.64285714285714,14
2016-08-01,64.28571428571429,14
2016-09-01,71.5,14
2016-10-01,70.57142857142857,14
2016-11-01,64.21428571428571,14
2016-12-01,58,14
2017-01-01,70.57142857142857,14
2017-02-01,70.85714285714286,14
2017-03-01,71,14
2017-04-01,64.85714285714286,14
2017-05-01,62.92857142857143,14
2017-06-01,68.5,14
2017-07-01,66.35714285714286,14
2017-08-01,67,14
2017-09-01,67.78571428571429,14
2017-10-01,62.214285714285715,14
2017-11-01,63.785714285714285,14
2017-12-01,51.857142857142854,14
2018-01-01,72.71428571428571,14
2018-02-01,61.357142857142854,14
2018-03-01,66.07142857142857,14
2018-04-01,64.64285714285714,14
2018-05-01,61.07142857142857,14
2018-06-01,63.714285714285715,14
2018-07-01,65.42857142857143,14
2018-08-01,63,14
2018-09-01,69,14
2018-10-01,66.21428571428571,14
2018-11-01,62.42857142857143,14
2018-12-01,51.642857142857146,14
2019-01-01,71.85714285714286,14
2019-02-01,67.21428571428571,14
2019-03-01,65.78571428571429,14
2019-04-01,62,14
2019-05-01,61.57142857142857,14
2019-06-01,63.42857142857143,14
2019-07-01,68.35714285714286,14
2019-08-01,65.78571428571429,14
2019-09-01,69.14285714285714,14
2019-10-01,65.78571428571429,14
2019-11-01,68.14285714285714,14
2019-12-01,55.92857142857143,14
2020-01-01,72.78571428571429,14
2020-02-01,69.21428571428571,14
2020-03-01,100,14
2020-04-01,75.92857142857143,14
2020-05-01,76.14285714285714,14
2020-06-01,77.35714285714286,14
2020-07-01,78.14285714285714,14
2020-08-01,74.64285714285714,14
2020-09-01,77.07142857142857,14
2020-10-01,70.5,14
2020-11-01,64.42857142857143,14
2020-12-01,58.07142857142857,14
2021-01-01,70,14
2021-02-01,68.14285714285714,14
2021-03-01,62.142857142857146,14
2021-04-01,59,14
2021-05-01,53.5,14
2021-06-01,64,14
2021-07-01,68,14
