time,value,n
2007-01-01,22,1
2007-01-02,27,1
2007-01-03,40,1
2007-01-04,14,1
2007-01-05,14,1
2007-01-06,45,1
2007-01-07,16,1
2007-01-08,25,1
2007-01-09,0,1
2007-01-10,6,1
2007-01-11,13,1
2007-01-12,28,1
2007-01-13,27,1
2007-01-14,56,1
2007-01-15,18,1
2007-01-16,29.5,2
2007-01-17,19,2
2007-01-18,34,2
2007-01-19,34,2
2007-01-20,24,2
2007-01-21,45.5,2
2007-01-22,28.5,2
2007-01-23,36.5,2
2007-01-24,17,2
2007-01-25,29,2
2007-01-26,11.5,2
2007-01-27,40.5,2
2007-01-28,21.5,2
2007-01-29,44,2
2007-01-30,32.5,2
2007-01-31,27.333333333333332,3
2007-02-01,18.666666666666668,3
2007-02-02,25.666666666666668,3
2007-02-03,22.333333333333332,3
2007-02-04,25,3
2007-02-05,26,3
2007-02-06,30.333333333333332,3
2007-02-07,22.666666666666668,3
2007-02-08,26.666666666666668,3
2007-02-09,37.333333333333336,3
2007-02-10,28.333333333333332,3
2007-02-11,20.333333333333332,3
2007-02-12,15.666666666666666,3
2007-02-13,18.666666666666668,3
2007-02-14,45,3
2007-02-15,33.5,4
2007-02-16,35,4
2007-02-17,71.75,4
2007-02-18,33,4
2007-02-19,22,4
2007-02-20,29.5,4
2007-02-21,24.5,4
2007-02-22,15.25,4
2007-02-23,21.75,4
2007-02-24,43.25,4
2007-02-25,16,4
2007-02-26,17.5,4
2007-02-27,15.75,4
2007-02-28,22.25,4
2007-03-01,44,4
2007-03-02,28.6,5
2007-03-03,40.8,5
2007-03-04,46.4,5
2007-03-05,26.6,5
2007-03-06,25.2,5
2007-03-07,30.8,5
2007-03-08,29.8,5
2007-03-09,31.2,5
2007-03-10,35.4,5
2007-03-11,29,5
2007-03-12,38.4,5
2007-03-13,54.6,5
2007-03-14,47,5
2007-03-15,44.8,5
2007-03-16,56.6,5
2007-03-17,65.5,6
2007-03-18,41.333333333333336,6
2007-03-19,40.166666666666664,6
2007-03-20,34.833333333333336,6
2007-03-21,34.5,6
2007-03-22,32.5,6
2007-03-23,32.833333333333336,6
2007-03-24,38,6
2007-03-25,53.333333333333336,6
2007-03-26,35.166666666666664,6
2007-03-27,37.833333333333336,6
2007-03-28,16.833333333333332,6
2007-03-29,39.833333333333336,6
2007-03-30,40.5,6
2007-03-31,42.666666666666664,6
2007-04-01,19.857142857142858,7
2007-04-02,38.57142857142857,7
2007-04-03,24.571428571428573,7
2007-04-04,29.285714285714285,7
2007-04-05,27.857142857142858,7
2007-04-06,30.571428571428573,7
2007-04-07,15,7
2007-04-08,35.714285714285715,7
2007-04-09,34.142857142857146,7
2007-04-10,35.714285714285715,7
2007-04-11,19,7
2007-04-12,29.285714285714285,7
2007-04-13,19.428571428571427,7
2007-04-14,67.42857142857143,7
2007-04-15,45.857142857142854,7
2007-04-16,36.5,8
2007-04-17,41.875,8
2007-04-18,37,8
2007-04-19,22.75,8
2007-04-20,20.375,8
2007-04-21,41.375,8
2007-04-22,47,8
2007-04-23,31.25,8
2007-04-24,37.625,8
2007-04-25,30.75,8
2007-04-26,34.25,8
2007-04-27,20.625,8
2007-04-28,51.75,8
2007-04-29,16.375,8
2007-04-30,37.5,8
2007-05-01,35.111111111111114,9
2007-05-02,36,9
2007-05-03,26.88888888888889,9
2007-05-04,26.666666666666668,9
2007-05-05,38.333333333333336,9
2007-05-06,20.22222222222222,9
2007-05-07,40.666666666666664,9
2007-05-08,46.44444444444444,9
2007-05-09,36.888888888888886,9
2007-05-10,59.55555555555556,9
2007-05-11,38.333333333333336,9
2007-05-12,53.111111111111114,9
2007-05-13,71,9
2007-05-14,58.888888888888886,9
2007-05-15,37.77777777777778,9
2007-05-16,54,10
2007-05-17,45.8,10
2007-05-18,75.7,10
2007-05-19,44.8,10
2007-05-20,50,10
2007-05-21,38.1,10
2007-05-22,47.4,10
2007-05-23,49,10
2007-05-24,46.1,10
2007-05-25,58.2,10
2007-05-26,20.2,10
2007-05-27,28.5,10
2007-05-28,51.6,10
2007-05-29,53.4,10
2007-05-30,55.9,10
2007-05-31,28.272727272727273,11
2007-06-01,59.90909090909091,11
2007-06-02,28.727272727272727,11
2007-06-03,40.27272727272727,11
2007-06-04,25.90909090909091,11
2007-06-05,47.09090909090909,11
2007-06-06,41.90909090909091,11
2007-06-07,47.90909090909091,11
2007-06-08,39.27272727272727,11
2007-06-09,28.727272727272727,11
2007-06-10,32.90909090909091,11
2007-06-11,42.54545454545455,11
2007-06-12,22.09090909090909,11
2007-06-13,30,11
2007-06-14,42.18181818181818,11
2007-06-15,20.25,12
2007-06-16,45.75,12
2007-06-17,67.66666666666667,12
2007-06-18,22.333333333333332,12
2007-06-19,29.666666666666668,12
2007-06-20,22.5,12
2007-06-21,67.83333333333333,12
2007-06-22,29.166666666666668,12
2007-06-23,46.25,12
2007-06-24,45.5,12
2007-06-25,34,12
2007-06-26,27.833333333333332,12
2007-06-27,20.833333333333332,12
2007-06-28,31.583333333333332,12
2007-06-29,23.75,12
2007-06-30,30.846153846153847,13
2007-07-01,20.384615384615383,13
2007-07-02,22.75,12
2007-07-03,37.666666666666664,12
2007-07-04,35.416666666666664,12
2007-07-05,36.916666666666664,12
2007-07-06,29.166666666666668,12
2007-07-07,20.166666666666668,12
2007-07-08,56.833333333333336,12
2007-07-09,42.5,12
2007-07-10,24,12
2007-07-11,34,12
2007-07-12,20.833333333333332,12
2007-07-13,23.75,12
2007-07-14,27.583333333333332,12
2007-07-15,41.07692307692308,13
2007-07-16,18.692307692307693,13
2007-07-17,22.75,12
2007-07-18,32.75,12
2007-07-19,33,12
2007-07-20,37.916666666666664,12
2007-07-21,26.5,12
2007-07-22,52,12
2007-07-23,19.166666666666668,12
2007-07-24,36,12
2007-07-25,33.166666666666664,12
2007-07-26,22.166666666666668,12
2007-07-27,27,12
2007-07-28,25,12
2007-07-29,37.583333333333336,12
2007-07-30,38.46153846153846,13
2007-07-31,22.23076923076923,13
2007-08-01,20.75,12
2007-08-02,21.25,12
2007-08-03,34.833333333333336,12
2007-08-04,50.75,12
2007-08-05,41.583333333333336,12
2007-08-06,39.666666666666664,12
2007-08-07,34.666666666666664,12
2007-08-08,35.333333333333336,12
2007-08-09,32,12
2007-08-10,57.583333333333336,12
2007-08-11,46,12
2007-08-12,15.333333333333334,12
2007-08-13,43.666666666666664,12
2007-08-14,43.61538461538461,13
2007-08-15,21.846153846153847,13
2007-08-16,31.833333333333332,12
2007-08-17,33.916666666666664,12
2007-08-18,31.5,12
2007-08-19,38,12
2007-08-20,29.666666666666668,12
2007-08-21,35.833333333333336,12
2007-08-22,46.833333333333336,12
2007-08-23,38.75,12
2007-08-24,49.166666666666664,12
2007-08-25,44.333333333333336,12
2007-08-26,51.75,12
2007-08-27,30.166666666666668,12
2007-08-28,40.416666666666664,12
2007-08-29,33.15384615384615,13
2007-08-30,53.84615384615385,13
2007-08-31,58.38461538461539,13
2007-09-01,57.46153846153846,13
2007-09-02,50.15384615384615,13
2007-09-03,43.166666666666664,12
2007-09-04,58.833333333333336,12
2007-09-05,66.75,12
2007-09-06,63.166666666666664,12
2007-09-07,45.833333333333336,12
2007-09-08,50.416666666666664,12
2007-09-09,48.916666666666664,12
2007-09-10,50.583333333333336,12
2007-09-11,36.25,12
2007-09-12,41.916666666666664,12
2007-09-13,25.692307692307693,13
2007-09-14,41.23076923076923,13
2007-09-15,73,13
2007-09-16,56.46153846153846,13
2007-09-17,35.07692307692308,13
2007-09-18,40.583333333333336,12
2007-09-19,46.083333333333336,12
2007-09-20,48.416666666666664,12
2007-09-21,44.666666666666664,12
2007-09-22,62.333333333333336,12
2007-09-23,40.083333333333336,12
2007-09-24,25.416666666666668,12
2007-09-25,28.75,12
2007-09-26,36.083333333333336,12
2007-09-27,45.25,12
2007-09-28,41,13
2007-09-29,34.07692307692308,13
2007-09-30,33.23076923076923,13
2007-10-01,45.30769230769231,13
2007-10-02,34.666666666666664,12
2007-10-03,46.75,12
2007-10-04,25.833333333333332,12
2007-10-05,34.166666666666664,12
2007-10-06,29.416666666666668,12
2007-10-07,35,12
2007-10-08,41,12
2007-10-09,40.416666666666664,12
2007-10-10,24.833333333333332,12
2007-10-11,36.833333333333336,12
2007-10-12,52.333333333333336,12
2007-10-13,35.92307692307692,13
2007-10-14,55.30769230769231,13
2007-10-15,38.61538461538461,13
2007-10-16,33.69230769230769,13
2007-10-17,46.833333333333336,12
2007-10-18,38.416666666666664,12
2007-10-19,35.833333333333336,12
2007-10-20,46.25,12
2007-10-21,43.166666666666664,12
2007-10-22,50.5,12
2007-10-23,33.25,12
2007-10-24,43.25,12
2007-10-25,22.25,12
2007-10-26,56.75,12
2007-10-27,40.666666666666664,12
2007-10-28,34.23076923076923,13
2007-10-29,49.53846153846154,13
2007-10-30,48,13
2007-10-31,34.15384615384615,13
2007-11-01,45.61538461538461,13
2007-11-02,45.833333333333336,12
2007-11-03,48.5,12
2007-11-04,61.416666666666664,12
2007-11-05,23.75,12
2007-11-06,24.166666666666668,12
2007-11-07,43.5,12
2007-11-08,41.25,12
2007-11-09,39.666666666666664,12
2007-11-10,29.916666666666668,12
2007-11-11,45.833333333333336,12
2007-11-12,42.46153846153846,13
2007-11-13,37.92307692307692,13
2007-11-14,27.307692307692307,13
2007-11-15,53.38461538461539,13
2007-11-16,36.30769230769231,13
2007-11-17,47.416666666666664,12
2007-11-18,37.083333333333336,12
2007-11-19,34,12
2007-11-20,17.083333333333332,12
2007-11-21,27.583333333333332,12
2007-11-22,24.666666666666668,12
2007-11-23,33.083333333333336,12
2007-11-24,30.583333333333332,12
2007-11-25,48,12
2007-11-26,32.416666666666664,12
2007-11-27,37,13
2007-11-28,27.846153846153847,13
2007-11-29,45.15384615384615,13
2007-11-30,26.76923076923077,13
2007-12-01,48.15384615384615,13
2007-12-02,39.583333333333336,12
2007-12-03,36.75,12
2007-12-04,39.666666666666664,12
2007-12-05,34.166666666666664,12
2007-12-06,57,12
2007-12-07,67.75,12
2007-12-08,37.833333333333336,12
2007-12-09,23.583333333333332,12
2007-12-10,33.666666666666664,12
2007-12-11,41.166666666666664,12
2007-12-12,41.38461538461539,13
2007-12-13,33.15384615384615,13
2007-12-14,38,13
2007-12-15,35.76923076923077,13
2007-12-16,43.833333333333336,12
2007-12-17,52.333333333333336,12
2007-12-18,37.916666666666664,12
2007-12-19,26.916666666666668,12
2007-12-20,27.916666666666668,12
2007-12-21,32.833333333333336,12
2007-12-22,57.083333333333336,12
2007-12-23,29.416666666666668,12
2007-12-24,33.416666666666664,12
2007-12-25,45.333333333333336,12
2007-12-26,54.25,12
2007-12-27,56.38461538461539,13
2007-12-28,56.69230769230769,13
2007-12-29,51.76923076923077,13
2007-12-30,64.84615384615384,13
2007-12-31,68.41666666666667,12
2008-01-01,25.75,12
2008-01-02,39.75,12
2008-01-03,50.75,12
2008-01-04,51.916666666666664,12
2008-01-05,34.416666666666664,12
2008-01-06,37.583333333333336,12
2008-01-07,24.25,12
2008-01-08,41.666666666666664,12
2008-01-09,27.416666666666668,12
2008-01-10,47.916666666666664,12
2008-01-11,23,13
2008-01-12,50.23076923076923,13
2008-01-13,25.76923076923077,13
2008-01-14,28,13
2008-01-15,34.30769230769231,13
2008-01-16,35.166666666666664,12
2008-01-17,31.75,12
2008-01-18,25.083333333333332,12
2008-01-19,66.25,12
2008-01-20,34.333333333333336,12
2008-01-21,36.333333333333336,12
2008-01-22,43.583333333333336,12
2008-01-23,40.583333333333336,12
2008-01-24,34.75,12
2008-01-25,35.416666666666664,12
2008-01-26,43.38461538461539,13
2008-01-27,36.92307692307692,13
2008-01-28,36.61538461538461,13
2008-01-29,38.38461538461539,13
2008-01-30,23.76923076923077,13
2008-01-31,30.416666666666668,12
2008-02-01,45.25,12
2008-02-02,37.25,12
2008-02-03,36.916666666666664,12
2008-02-04,37.166666666666664,12
2008-02-05,42.25,12
2008-02-06,44.25,12
2008-02-07,38.916666666666664,12
2008-02-08,43.666666666666664,12
2008-02-09,36.75,12
2008-02-10,57.92307692307692,13
2008-02-11,43.84615384615385,13
2008-02-12,44.46153846153846,13
2008-02-13,44.84615384615385,13
2008-02-14,35.30769230769231,13
2008-02-15,53.416666666666664,12
2008-02-16,54.666666666666664,12
2008-02-17,60,12
2008-02-18,54.166666666666664,12
2008-02-19,61.916666666666664,12
2008-02-20,43.416666666666664,12
2008-02-21,33.166666666666664,12
2008-02-22,29.416666666666668,12
2008-02-23,53.916666666666664,12
2008-02-24,49.75,12
2008-02-25,35.61538461538461,13
2008-02-26,47.84615384615385,13
2008-02-27,54.53846153846154,13
2008-02-28,40,13
2008-02-29,48.46153846153846,13
2008-03-01,52.583333333333336,12
2008-03-02,72.5,12
2008-03-03,46.083333333333336,12
2008-03-04,24.333333333333332,12
2008-03-05,59.083333333333336,12
2008-03-06,42.916666666666664,12
2008-03-07,33.333333333333336,12
2008-03-08,29.25,12
2008-03-09,41.666666666666664,12
2008-03-10,47.583333333333336,12
2008-03-11,46.61538461538461,13
2008-03-12,43.46153846153846,13
2008-03-13,50.53846153846154,13
2008-03-14,31.5,12
2008-03-15,56.833333333333336,12
2008-03-16,81,12
2008-03-17,48.166666666666664,12
2008-03-18,38.916666666666664,12
2008-03-19,64.25,12
2008-03-20,54.916666666666664,12
2008-03-21,45.666666666666664,12
2008-03-22,59.166666666666664,12
2008-03-23,53.583333333333336,12
2008-03-24,41.25,12
2008-03-25,42.916666666666664,12
2008-03-26,48.15384615384615,13
2008-03-27,34.84615384615385,13
2008-03-28,57.38461538461539,13
2008-03-29,63.333333333333336,12
2008-03-30,63.75,12
2008-03-31,38.166666666666664,12
2008-04-01,51,12
2008-04-02,41.083333333333336,12
2008-04-03,43.25,12
2008-04-04,44.583333333333336,12
2008-04-05,52.416666666666664,12
2008-04-06,25.75,12
2008-04-07,27.75,12
2008-04-08,37.416666666666664,12
2008-04-09,33.916666666666664,12
2008-04-10,50.53846153846154,13
2008-04-11,63.46153846153846,13
2008-04-12,37.61538461538461,13
2008-04-13,58.46153846153846,13
2008-04-14,50,12
2008-04-15,49.916666666666664,12
2008-04-16,40.5,12
2008-04-17,35.5,12
2008-04-18,31.666666666666668,12
2008-04-19,51.583333333333336,12
2008-04-20,51.333333333333336,12
2008-04-21,45.416666666666664,12
2008-04-22,51.083333333333336,12
2008-04-23,43,12
2008-04-24,63.416666666666664,12
2008-04-25,62.53846153846154,13
2008-04-26,81.38461538461539,13
2008-04-27,69,13
2008-04-28,46.38461538461539,13
2008-04-29,39.416666666666664,12
2008-04-30,41.333333333333336,12
2008-05-01,57.583333333333336,12
2008-05-02,52,12
2008-05-03,54.833333333333336,12
2008-05-04,58.25,12
2008-05-05,40.583333333333336,12
2008-05-06,50.5,12
2008-05-07,50.333333333333336,12
2008-05-08,40.5,12
2008-05-09,52.333333333333336,12
2008-05-10,45.15384615384615,13
2008-05-11,52.30769230769231,13
2008-05-12,43.61538461538461,13
2008-05-13,53.333333333333336,12
2008-05-14,44,12
2008-05-15,53.583333333333336,12
2008-05-16,52.75,12
2008-05-17,38.083333333333336,12
2008-05-18,53.416666666666664,12
2008-05-19,29,12
2008-05-20,50.25,12
2008-05-21,43.083333333333336,12
2008-05-22,59.25,12
2008-05-23,38.75,12
2008-05-24,53.166666666666664,12
2008-05-25,58.07692307692308,13
2008-05-26,28,13
2008-05-27,33.69230769230769,13
2008-05-28,55.083333333333336,12
2008-05-29,36.75,12
2008-05-30,48.166666666666664,12
2008-05-31,47.75,12
2008-06-01,50.166666666666664,12
2008-06-02,44.666666666666664,12
2008-06-03,49.583333333333336,12
2008-06-04,33.833333333333336,12
2008-06-05,35.25,12
2008-06-06,61.166666666666664,12
2008-06-07,43.666666666666664,12
2008-06-08,45,12
2008-06-09,40.30769230769231,13
2008-06-10,45,13
2008-06-11,42.46153846153846,13
2008-06-12,44.38461538461539,13
2008-06-13,38.916666666666664,12
2008-06-14,36.166666666666664,12
2008-06-15,46.75,12
2008-06-16,27.75,12
2008-06-17,55.916666666666664,12
2008-06-18,64.91666666666667,12
2008-06-19,29.833333333333332,12
2008-06-20,46.416666666666664,12
2008-06-21,57.75,12
2008-06-22,58.166666666666664,12
2008-06-23,51.5,12
2008-06-24,31,13
2008-06-25,26.46153846153846,13
2008-06-26,42.69230769230769,13
2008-06-27,43.30769230769231,13
2008-06-28,46.25,12
2008-06-29,57.416666666666664,12
2008-06-30,50.333333333333336,12
2008-07-01,43.916666666666664,12
2008-07-02,37.5,12
2008-07-03,43.166666666666664,12
2008-07-04,63.333333333333336,12
2008-07-05,36.416666666666664,12
2008-07-06,37.916666666666664,12
2008-07-07,39.25,12
2008-07-08,31.5,12
2008-07-09,29.846153846153847,13
2008-07-10,39.46153846153846,13
2008-07-11,40.92307692307692,13
2008-07-12,25.5,12
2008-07-13,26.916666666666668,12
2008-07-14,25.75,12
2008-07-15,26.833333333333332,12
2008-07-16,32.75,12
2008-07-17,35.666666666666664,12
2008-07-18,39.166666666666664,12
2008-07-19,31.416666666666668,12
2008-07-20,62.75,12
2008-07-21,39.916666666666664,12
2008-07-22,28.666666666666668,12
2008-07-23,34.333333333333336,12
2008-07-24,27.846153846153847,13
2008-07-25,20.46153846153846,13
2008-07-26,41,13
2008-07-27,58,12
2008-07-28,33.916666666666664,12
2008-07-29,29,12
2008-07-30,41.5,12
2008-07-31,31.25,12
2008-08-01,32.833333333333336,12
2008-08-02,48.416666666666664,12
2008-08-03,47.583333333333336,12
2008-08-04,32.833333333333336,12
2008-08-05,37,12
2008-08-06,53.416666666666664,12
2008-08-07,36.083333333333336,12
2008-08-08,54.30769230769231,13
2008-08-09,34.46153846153846,13
2008-08-10,39.92307692307692,13
2008-08-11,18.166666666666668,12
2008-08-12,38.333333333333336,12
2008-08-13,52.416666666666664,12
2008-08-14,39.333333333333336,12
2008-08-15,40.916666666666664,12
2008-08-16,31,12
2008-08-17,49.333333333333336,12
2008-08-18,25.833333333333332,12
2008-08-19,51.25,12
