time,value,n
2007-01-01,26,1
2007-02-01,25.5,2
2007-03-01,32.666666666666664,3
2007-04-01,29,4
2007-05-01,35.8,5
2007-06-01,28.5,6
2007-07-01,24.285714285714285,7
2007-08-01,31.375,8
2007-09-01,33.77777777777778,9
2007-10-01,29.8,10
2007-11-01,27.272727272727273,11
2007-12-01,32.5,12
2008-01-01,28,12
2008-02-01,35.5,12
2008-03-01,41.083333333333336,12
2008-04-01,38.833333333333336,12
2008-05-01,38.75,12
2008-06-01,35.833333333333336,12
2008-07-01,30.416666666666668,12
2008-08-01,35,12
2008-09-01,35,12
2008-10-01,35.25,12
2008-11-01,39.583333333333336,12
2008-12-01,39,12
2009-01-01,32,12
2009-02-01,34.5,12
2009-03-01,40.75,12
2009-04-01,38.083333333333336,12
2009-05-01,41.5,12
2009-06-01,37.416666666666664,12
2009-07-01,33.833333333333336,12
2009-08-01,37.083333333333336,12
2009-09-01,38.75,12
2009-10-01,38.5,12
2009-11-01,36.083333333333336,12
2009-12-01,38.833333333333336,12
2010-01-01,36.583333333333336,12
2010-02-01,41.166666666666664,12
2010-03-01,45,12
2010-04-01,40.5,12
2010-05-01,44.666666666666664,12
2010-06-01,43.083333333333336,12
2010-07-01,36.666666666666664,12
2010-08-01,40.083333333333336,12
2010-09-01,41.75,12
2010-10-01,45.25,12
2010-11-01,41.916666666666664,12
2010-12-01,41.916666666666664,12
2011-01-01,47.25,12
2011-02-01,46,12
2011-03-01,50.416666666666664,12
2011-04-01,52.75,12
2011-05-01,46.666666666666664,12
2011-06-01,53.333333333333336,12
2011-07-01,51,12
2011-08-01,53.333333333333336,12
2011-09-01,81.33333333333333,12
2011-10-01,77.75,12
2011-11-01,62.666666666666664,12
2011-12-01,70.33333333333333,12
2012-01-01,61.583333333333336,12
2012-02-01,67.75,12
2012-03-01,90.5,12
2012-04-01,76.58333333333333,12
2012-05-01,78.25,12
2012-06-01,76.08333333333333,12
2012-07-01,71.33333333333333,12
2012-08-01,68.5,12
2012-09-01,81.41666666666667,12
2012-10-01,87.16666666666667,12
2012-11-01,79.16666666666667,12
2012-12-01,86.33333333333333,12
2013-01-01,76.25,12
2013-02-01,83.16666666666667,12
2013-03-01,95.25,12
2013-04-01,96.83333333333333,12
2013-05-01,89.58333333333333,12
2013-06-01,88.91666666666667,12
2013-07-01,86.16666666666667,12
2013-08-01,75.83333333333333,12
2013-09-01,88.16666666666667,12
2013-10-01,85.5,12
2013-11-01,81.58333333333333,12
2013-12-01,90.16666666666667,12
2014-01-01,84.16666666666667,12
2014-02-01,86,12
2014-03-01,98.16666666666667,12
2014-04-01,94,12
2014-05-01,91.5,12
2014-06-01,95.16666666666667,12
2014-07-01,81.25,12
2014-08-01,85.91666666666667,12
2014-09-01,84.75,12
2014-10-01,94.5,12
2014-11-01,85.5,12
2014-12-01,98.66666666666667,12
2015-01-01,83.16666666666667,12
2015-02-01,84.16666666666667,12
2015-03-01,93.5,12
2015-04-01,92.33333333333333,12
2015-05-01,87.58333333333333,12
2015-06-01,93.16666666666667,12
2015-07-01,89,12
2015-08-01,74.5,12
2015-09-01,81.58333333333333,12
2015-10-01,83.16666666666667,12
2015-11-01,80.25,12
2015-12-01,87.5,12
2016-01-01,92,12
2016-02-01,88.83333333333333,12
2016-03-01,88.25,12
2016-04-01,89.33333333333333,12
2016-05-01,87,12
2016-06-01,96.75,12
2016-07-01,88.41666666666667,12
2016-08-01,77,12
2016-09-01,78.91666666666667,12
2016-10-01,93.16666666666667,12
2016-11-01,82.16666666666667,12
2016-12-01,84.5,12
2017-01-01,82.5,12
2017-02-01,85.25,12
2017-03-01,84.83333333333333,12
2017-04-01,85.08333333333333,12
2017-05-01,76.83333333333333,12
2017-06-01,84.5,12
2017-07-01,72.83333333333333,12
2017-08-01,66.58333333333333,12
2017-09-01,75.16666666666667,12
2017-10-01,75.5,12
2017-11-01,87.5,12
2017-12-01,81.25,12
2018-01-01,72.5,12
2018-02-01,77.08333333333333,12
2018-03-01,85.91666666666667,12
2018-04-01,86.25,12
2018-05-01,82.83333333333333,12
2018-06-01,78,12
2018-07-01,73.75,12
2018-08-01,69.75,12
2018-09-01,72,12
2018-10-01,80.58333333333333,12
2018-11-01,85.41666666666667,12
2018-12-01,77.75,12
2019-01-01,73.5,12
2019-02-01,77.58333333333333,12
2019-03-01,74.41666666666667,12
2019-04-01,75.08333333333333,12
2019-05-01,73.91666666666667,12
2019-06-01,89,12
2019-07-01,71.25,12
2019-08-01,64,12
2019-09-01,73.58333333333333,12
2019-10-01,82.41666666666667,12
2019-11-01,84.91666666666667,12
2019-12-01,84.25,12
2020-01-01,79.41666666666667,12
2020-02-01,81.5,12
2020-03-01,66.75,12
2020-04-01,81.83333333333333,12
2020-05-01,77.58333333333333,12
2020-06-01,81,12
2020-07-01,71.58333333333333,12
2020-08-01,67.66666666666667,12
2020-09-01,67.75,12
2020-10-01,74.5,12
2020-11-01,70.5,12
2020-12-01,64.25,12
2021-01-01,66.16666666666667,12
2021-02-01,80.58333333333333,12
2021-03-01,82.66666666666667,12
2021-04-01,78.08333333333333,12
2021-05-01,76.83333333333333,12
2021-06-01,79.33333333333333,12
2021-07-01,71.25,12
