time,value,n
2007-01-07,26,1
2007-01-14,31,1
2007-01-21,32,1
2007-01-28,20,1
2007-02-04,32,1
2007-02-11,28,1
2007-02-18,19,1
2007-02-25,34,1
2007-03-04,33,1
2007-03-11,45,1
2007-03-18,34,1
2007-03-25,35,2
2007-04-01,28.5,2
2007-04-08,30.5,2
2007-04-15,32,2
2007-04-22,28.5,2
2007-04-29,26,2
2007-05-06,36,2
2007-05-13,38,2
2007-05-20,39.5,2
2007-05-27,39,2
2007-06-03,34.5,2
2007-06-10,22,3
2007-06-17,33.333333333333336,3
2007-06-24,21.666666666666668,3
2007-07-01,27.333333333333332,3
2007-07-08,30.333333333333332,3
2007-07-15,22.666666666666668,3
2007-07-22,24,3
2007-07-29,26.333333333333332,3
2007-08-05,29,3
2007-08-12,26.333333333333332,3
2007-08-19,34,3
2007-08-26,32.75,4
2007-09-02,39,4
2007-09-09,34,4
2007-09-16,33.25,4
2007-09-23,25,4
2007-09-30,27.5,4
2007-10-07,30.75,4
2007-10-14,28.5,4
2007-10-21,34,4
2007-10-28,33,4
2007-11-04,24.5,4
2007-11-11,28.4,5
2007-11-18,21.6,5
2007-11-25,26.6,5
2007-12-02,34.4,5
2007-12-09,30.4,5
2007-12-16,28.4,5
2007-12-23,33.8,5
2007-12-30,38.4,5
2008-01-06,27.8,5
2008-01-13,27.8,5
2008-01-20,27.6,5
2008-01-27,25.666666666666668,6
2008-02-03,35,6
2008-02-10,35.166666666666664,6
2008-02-17,35,6
2008-02-24,35.166666666666664,6
2008-03-02,36,6
2008-03-09,34.833333333333336,6
2008-03-16,42,6
2008-03-23,35.666666666666664,6
2008-03-30,39.833333333333336,6
2008-04-06,33,6
2008-04-13,36.142857142857146,7
2008-04-20,44.57142857142857,7
2008-04-27,38.285714285714285,7
2008-05-04,42.42857142857143,7
2008-05-11,40.714285714285715,7
2008-05-18,35.57142857142857,7
2008-05-25,35.857142857142854,7
2008-06-01,32.857142857142854,7
2008-06-08,32.42857142857143,7
2008-06-15,35.857142857142854,7
2008-06-22,34.285714285714285,7
2008-06-29,37,8
2008-07-06,29.875,8
2008-07-13,24.25,8
2008-07-20,29.125,8
2008-07-27,29.75,8
2008-08-03,33.25,8
2008-08-10,29,8
2008-08-17,38.5,8
2008-08-24,35.5,8
2008-08-31,31.125,8
2008-09-07,33.125,8
2008-09-14,41.44444444444444,9
2008-09-21,26.88888888888889,9
2008-09-28,37.333333333333336,9
2008-10-05,38.44444444444444,9
2008-10-12,28.88888888888889,9
2008-10-19,33.666666666666664,9
2008-10-26,35,9
2008-11-02,37.111111111111114,9
2008-11-09,31.666666666666668,9
2008-11-16,35.44444444444444,9
2008-11-23,39.666666666666664,9
2008-11-30,34.7,10
2008-12-07,41.1,10
2008-12-14,33.1,10
2008-12-21,34.7,10
2008-12-28,33.6,10
2009-01-04,28.1,10
2009-01-11,29.7,10
2009-01-18,30.7,10
2009-01-25,27.7,10
2009-02-01,31.1,10
2009-02-08,30.3,10
2009-02-15,33.72727272727273,11
2009-02-22,31.727272727272727,11
2009-03-01,34.90909090909091,11
2009-03-08,39.45454545454545,11
2009-03-15,34.63636363636363,11
2009-03-22,40.09090909090909,11
2009-03-29,38.27272727272727,11
2009-04-05,35.18181818181818,11
2009-04-12,36.63636363636363,11
2009-04-19,35.09090909090909,11
2009-04-26,32.72727272727273,11
2009-05-03,36.833333333333336,12
2009-05-10,39.75,12
2009-05-17,36.25,12
2009-05-24,36.5,12
2009-05-31,38.416666666666664,12
2009-06-07,32.583333333333336,12
2009-06-14,33.5,12
2009-06-21,31.416666666666668,12
2009-06-28,32.916666666666664,12
2009-07-05,29.5,12
2009-07-12,31.333333333333332,12
2009-07-19,34.30769230769231,13
2009-07-26,31.153846153846153,13
2009-08-02,34.76923076923077,13
2009-08-09,38.46153846153846,13
2009-08-16,32.46153846153846,13
2009-08-23,33.53846153846154,13
2009-08-30,30.384615384615383,13
2009-09-06,46.23076923076923,13
2009-09-13,33.15384615384615,13
2009-09-20,30.76923076923077,13
2009-09-27,34.46153846153846,13
2009-10-04,30.357142857142858,14
2009-10-11,35.57142857142857,14
2009-10-18,33.785714285714285,14
2009-10-25,37.285714285714285,14
2009-11-01,35.857142857142854,14
2009-11-08,33.142857142857146,14
2009-11-15,33.642857142857146,14
2009-11-22,33.785714285714285,14
2009-11-29,35.5,14
2009-12-06,34,14
2009-12-13,34.5,14
2009-12-20,29.933333333333334,15
2009-12-27,39.86666666666667,15
2010-01-03,34.8,15
2010-01-10,30.4,15
2010-01-17,32.13333333333333,15
2010-01-24,36.666666666666664,15
2010-01-31,36.06666666666667,15
2010-02-07,36.8,15
2010-02-14,36.46666666666667,15
2010-02-21,38.86666666666667,15
2010-02-28,41.4,15
2010-03-07,42.5625,16
2010-03-14,42.625,16
2010-03-21,36.625,16
2010-03-28,45.4375,16
2010-04-04,39.125,16
2010-04-11,37.0625,16
2010-04-18,37.125,16
2010-04-25,38.4375,16
2010-05-02,42.9375,16
2010-05-09,34.875,16
2010-05-16,38.6875,16
2010-05-23,39.05882352941177,17
2010-05-30,39.470588235294116,17
2010-06-06,35.529411764705884,17
2010-06-13,37.35294117647059,17
2010-06-20,40.294117647058826,17
2010-06-27,37.411764705882355,17
2010-07-04,28.58823529411765,17
2010-07-11,33.705882352941174,17
2010-07-18,32.470588235294116,17
2010-07-25,28.764705882352942,17
2010-08-01,36.05882352941177,17
2010-08-08,35.111111111111114,18
2010-08-15,37.44444444444444,18
2010-08-22,34.333333333333336,18
2010-08-29,32.333333333333336,18
2010-09-05,37,18
2010-09-12,37.5,18
2010-09-19,37.666666666666664,18
2010-09-26,38.05555555555556,18
2010-10-03,40.22222222222222,18
2010-10-10,44.5,18
2010-10-17,37.27777777777778,18
2010-10-24,34.8421052631579,19
2010-10-31,37.89473684210526,19
2010-11-07,38.526315789473685,19
2010-11-14,34,19
2010-11-21,34.05263157894737,19
2010-11-28,37.578947368421055,19
2010-12-05,37.78947368421053,19
2010-12-12,32,19
2010-12-19,34.68421052631579,19
2010-12-26,47.63157894736842,19
2011-01-02,43.63157894736842,19
2011-01-09,37.15,20
2011-01-16,40.9,20
2011-01-23,42,20
2011-01-30,42,20
2011-02-06,41.45,20
2011-02-13,41.15,20
2011-02-20,38.3,20
2011-02-27,39.85,20
2011-03-06,42.6,20
2011-03-13,46.95,20
2011-03-20,45.6,20
2011-03-27,47.333333333333336,21
2011-04-03,48.333333333333336,21
2011-04-10,43.23809523809524,21
2011-04-17,41.38095238095238,21
2011-04-24,45.904761904761905,21
2011-05-01,34.333333333333336,21
2011-05-08,40.95238095238095,21
2011-05-15,43.904761904761905,21
2011-05-22,41.095238095238095,21
2011-05-29,46.142857142857146,21
2011-06-05,41.57142857142857,21
2011-06-12,50.36363636363637,22
2011-06-19,51.36363636363637,22
2011-06-26,50.36363636363637,22
2011-07-03,44.5,22
2011-07-10,44.13636363636363,22
2011-07-17,43.36363636363637,22
2011-07-24,42.77272727272727,22
2011-07-31,41.54545454545455,22
2011-08-07,51.13636363636363,22
2011-08-14,43.31818181818182,22
2011-08-21,46.31818181818182,22
2011-08-28,59.869565217391305,23
2011-09-04,63.26086956521739,23
2011-09-11,68.95652173913044,23
2011-09-18,65.52173913043478,23
2011-09-25,86.65217391304348,23
2011-10-02,74.04347826086956,23
2011-10-09,69.69565217391305,23
2011-10-16,63.91304347826087,23
2011-10-23,61.73913043478261,23
2011-10-30,59.82608695652174,23
2011-11-06,51.69565217391305,23
2011-11-13,57.041666666666664,24
2011-11-20,53.916666666666664,24
2011-11-27,54.375,24
2011-12-04,54.625,24
2011-12-11,59.208333333333336,24
2011-12-18,65.41666666666667,24
2011-12-25,71.04166666666667,24
2012-01-01,59.166666666666664,24
2012-01-08,51.56521739130435,23
2012-01-15,49.69565217391305,23
2012-01-22,55.21739130434783,23
2012-01-29,52.416666666666664,24
2012-02-05,54.291666666666664,24
2012-02-12,55.708333333333336,24
2012-02-19,60.458333333333336,24
2012-02-26,83.16666666666667,24
2012-03-04,90.91666666666667,24
2012-03-11,81.91666666666667,24
2012-03-18,70.75,24
2012-03-25,60.17391304347826,23
2012-04-01,66.34782608695652,23
2012-04-08,67.6086956521739,23
2012-04-15,63.875,24
2012-04-22,64.70833333333333,24
2012-04-29,74.375,24
2012-05-06,64.45833333333333,24
2012-05-13,66.875,24
2012-05-20,63.583333333333336,24
2012-05-27,67.95833333333333,24
2012-06-03,66.33333333333333,24
2012-06-10,59.56521739130435,23
2012-06-17,64.82608695652173,23
2012-06-24,64.04347826086956,23
2012-07-01,59.416666666666664,24
2012-07-08,63,24
2012-07-15,61.25,24
2012-07-22,59.125,24
2012-07-29,54.208333333333336,24
2012-08-05,56.958333333333336,24
2012-08-12,64.16666666666667,24
2012-08-19,57.708333333333336,24
2012-08-26,55.95652173913044,23
2012-09-02,69.82608695652173,23
2012-09-09,75.26086956521739,23
2012-09-16,65.16666666666667,24
2012-09-23,63.708333333333336,24
2012-09-30,83.41666666666667,24
2012-10-07,83.75,24
2012-10-14,64.45833333333333,24
2012-10-21,65.875,24
2012-10-28,71.33333333333333,24
2012-11-04,63.208333333333336,24
2012-11-11,66.65217391304348,23
2012-11-18,66.95652173913044,23
2012-11-25,64.21739130434783,23
2012-12-02,69.91666666666667,24
2012-12-09,69.625,24
2012-12-16,64.125,24
2012-12-23,82.83333333333333,24
2012-12-30,71.70833333333333,24
2013-01-06,62.166666666666664,24
2013-01-13,63.041666666666664,24
2013-01-20,64.83333333333333,24
2013-01-27,68.6086956521739,23
2013-02-03,69.30434782608695,23
2013-02-10,70.30434782608695,23
2013-02-17,63.5,24
2013-02-24,72.75,24
2013-03-03,86.375,24
2013-03-10,85.91666666666667,24
2013-03-17,71.25,24
2013-03-24,74.16666666666667,24
2013-03-31,73.625,24
2013-04-07,93.33333333333333,24
2013-04-14,83.6086956521739,23
2013-04-21,75.8695652173913,23
2013-04-28,82.21739130434783,23
2013-05-05,76.41666666666667,24
2013-05-12,67.08333333333333,24
2013-05-19,73.16666666666667,24
2013-05-26,71,24
2013-06-02,72.16666666666667,24
2013-06-09,72.16666666666667,24
2013-06-16,72.5,24
2013-06-23,73.5,24
2013-06-30,71.8695652173913,23
2013-07-07,73.1304347826087,23
2013-07-14,71.1304347826087,23
2013-07-21,69.25,24
2013-07-28,66.91666666666667,24
2013-08-04,57.333333333333336,24
2013-08-11,62.833333333333336,24
2013-08-18,62.75,24
2013-08-25,63.333333333333336,24
2013-09-01,73.66666666666667,24
2013-09-08,82.08333333333333,24
2013-09-15,65.65217391304348,23
2013-09-22,65.78260869565217,23
2013-09-29,80.1304347826087,23
2013-10-06,76.875,24
2013-10-13,68.33333333333333,24
2013-10-20,60.791666666666664,24
2013-10-27,63,24
2013-11-03,63.458333333333336,24
2013-11-10,68.45833333333333,24
2013-11-17,64.58333333333333,24
2013-11-24,65.79166666666667,24
2013-12-01,59.69565217391305,23
2013-12-08,72.30434782608695,23
2013-12-15,63.43478260869565,23
2013-12-22,92.20833333333333,24
2013-12-29,82.16666666666667,24
2014-01-05,67.58333333333333,24
2014-01-12,68.45833333333333,24
2014-01-19,68.83333333333333,24
2014-01-26,69.58333333333333,24
2014-02-02,70.83333333333333,24
2014-02-09,66.54166666666667,24
2014-02-16,67.95652173913044,23
2014-02-23,71,23
2014-03-02,97.21739130434783,23
2014-03-09,81.83333333333333,24
2014-03-16,71.95833333333333,24
2014-03-23,66.625,24
2014-03-30,72.79166666666667,24
2014-04-06,76.70833333333333,24
2014-04-13,78.75,24
2014-04-20,76.125,24
2014-04-27,76.33333333333333,24
2014-05-04,68.78260869565217,23
2014-05-11,69.34782608695652,23
2014-05-18,73.82608695652173,23
2014-05-25,71.875,24
2014-06-01,71.375,24
2014-06-08,75.70833333333333,24
2014-06-15,85.45833333333333,24
2014-06-22,74.04166666666667,24
2014-06-29,73.33333333333333,24
2014-07-06,66.66666666666667,24
2014-07-13,63.625,24
2014-07-20,63.43478260869565,23
2014-07-27,60.17391304347826,23
2014-08-03,64.30434782608695,23
2014-08-10,68.875,24
2014-08-17,69.625,24
2014-08-24,67.54166666666667,24
2014-08-31,69.29166666666667,24
2014-09-07,66.79166666666667,24
2014-09-14,62.25,24
2014-09-21,71.75,24
2014-09-28,81.16666666666667,24
2014-10-05,72.78260869565217,23
2014-10-12,74.91304347826087,23
2014-10-19,77.21739130434783,23
2014-10-26,71.625,24
2014-11-02,67.54166666666667,24
