period,year,half-year,quarter,month,day,indicator,unit,Status,Data producer,Region / business partner,Data type,values,sort
month,2007,1,1,01,,"Consumer Confidence Indicator, Belgium",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-3,AB009C000
month,2007,1,1,01,,"Consumer Confidence Indicator, Cyprus",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-13,AB009C001
month,2007,1,1,01,,"Consumer Confidence Indicator, Germany",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-8,AB009C002
month,2007,1,1,01,,"Consumer Confidence Indicator, Greece",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-28,AB009C003
month,2007,1,1,01,,"Consumer Confidence Indicator, Ireland",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-3,AB009C004
month,2007,1,1,01,,"Consumer Confidence Indicator, Spain",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-12,AB009C005
month,2007,1,1,01,,"Consumer Confidence Indicator, France",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-8,AB009C006
month,2007,1,1,01,,"Consumer Confidence Indicator, Italy",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-11,AB009C007
month,2007,1,1,01,,"Consumer Confidence Indicator, Luxembourg",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-6,AB009C008
month,2007,1,1,01,,"Consumer Confidence Indicator, Malta",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-17,AB009C009
month,2007,1,1,01,,"Consumer Confidence Indicator, Netherlands",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5,AB009C010
month,2007,1,1,01,,"Consumer Confidence Indicator, Austria",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-3,AB009C011
month,2007,1,1,01,,"Consumer Confidence Indicator, Portugal",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-15,AB009C012
month,2007,1,1,01,,"Consumer Confidence Indicator, Slovenia",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-14,AB009C013
month,2007,1,1,01,,"Consumer Confidence Indicator, Finland",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0,AB009C014
month,2007,1,1,01,,"Consumer Confidence Indicator, euro area-changing composition",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-8,AB009C015
month,2007,1,1,01,,"Consumer Confidence Indicator, Bulgaria",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-19,AB009C016
month,2007,1,1,01,,"Consumer Confidence Indicator, Czech Republic",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-4,AB009C017
month,2007,1,1,01,,"Consumer Confidence Indicator, Denmark",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",7,AB009C018
month,2007,1,1,01,,"Consumer Confidence Indicator, Estonia",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",13,AB009C019
