"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.691787835,
"OECD","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.660038611,
"OECD","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.523260353,
"OECD","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.705057648,
"OECD","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.184819351,
"OECD","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.013028629,
"OECD","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-0.500146377,
"OECD","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-1.9896048,
"OECD","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-2.315583198,
"OECD","QGDP","TOT","PC_CHGPP","Q","2009-Q2",0.201177609,
"OECD","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.582614025,
"OECD","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.900578117,
"OECD","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.598325399,
"OECD","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.103835163,
"OECD","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.857337097,
"OECD","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.564151075,
"OECD","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.276152429,
"OECD","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.375194049,
"OECD","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.598352571,
"OECD","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.436166296,
"OECD","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.473116944,
"OECD","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.135583303,
"OECD","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.178136126,
"OECD","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.041591552,
"OECD","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.586757995,
"OECD","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.540814874,
"OECD","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.727102895,
"OECD","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.495156868,
"OECD","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.352210987,
"OECD","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.470770349,
"OECD","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.76714871,
"OECD","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.562479688,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.807831237,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.547387284,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.522094315,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.315382929,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.533349252,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.350886796,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.380405903,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.831119458,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.625240863,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.713390062,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.726299038,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.829601995,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.545418241,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.602407033,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.211333802,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.245131109,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.588901063,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.561597993,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.46233299,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.101765596,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.843328049,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.429614267,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.37361062,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.099120521,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.629119178,
