id,time,value
Cofag,2022-04-14,21
Cofag,2022-04-15,22
Cofag,2022-04-16,0
Cofag,2022-04-17,0
Cofag,2022-04-18,0
Cofag,2022-04-19,52
Cofag,2022-04-20,37
Cofag,2022-04-21,20
Cofag,2022-04-22,0
Cofag,2022-04-23,0
Cofag,2022-04-24,0
Cofag,2022-04-25,38
Cofag,2022-04-26,0
Cofag,2022-04-27,19
Cofag,2022-04-28,40
Cofag,2022-04-29,23
Cofag,2022-04-30,0
Cofag,2022-05-01,0
Cofag,2022-05-02,19
Cofag,2022-05-03,0
Cofag,2022-05-04,19
Cofag,2022-05-05,0
Cofag,2022-05-06,41
Cofag,2022-05-07,0
Cofag,2022-05-08,0
Cofag,2022-05-09,58
Cofag,2022-05-10,38
Cofag,2022-05-11,0
Cofag,2022-05-12,0
Cofag,2022-05-13,0
Cofag,2022-05-14,0
Cofag,2022-05-15,0
Cofag,2022-05-16,19
Cofag,2022-05-17,0
Cofag,2022-05-18,0
Cofag,2022-05-19,0
Cofag,2022-05-20,41
Cofag,2022-05-21,0
Cofag,2022-05-22,0
Cofag,2022-05-23,0
Cofag,2022-05-24,0
Cofag,2022-05-25,39
Cofag,2022-05-26,0
Cofag,2022-05-27,0
Cofag,2022-05-28,0
Cofag,2022-05-29,0
Cofag,2022-05-30,37
Cofag,2022-05-31,0
Cofag,2022-06-01,99
Cofag,2022-06-02,100
Cofag,2022-06-03,0
Cofag,2022-06-04,0
Cofag,2022-06-05,0
Cofag,2022-06-06,0
Cofag,2022-06-07,18
Cofag,2022-06-08,0
Cofag,2022-06-09,19
Cofag,2022-06-10,0
Cofag,2022-06-11,0
Cofag,2022-06-12,0
Cofag,2022-06-13,0
Cofag,2022-06-14,0
Cofag,2022-06-15,21
Cofag,2022-06-16,0
Cofag,2022-06-17,0
Cofag,2022-06-18,0
Cofag,2022-06-19,0
Cofag,2022-06-20,19
Cofag,2022-06-21,78
Cofag,2022-06-22,39
Cofag,2022-06-23,21
Cofag,2022-06-24,0
Cofag,2022-06-25,0
Cofag,2022-06-26,27
Cofag,2022-06-27,0
Cofag,2022-06-28,78
Cofag,2022-06-29,39
Cofag,2022-06-30,63
Cofag,2022-07-01,43
Cofag,2022-07-02,0
Cofag,2022-07-03,0
Cofag,2022-07-04,0
Cofag,2022-07-05,39
Cofag,2022-07-06,21
Cofag,2022-07-07,40
Cofag,2022-07-08,22
Cofag,2022-07-09,27
Cofag,2022-07-10,0
Cofag,2022-07-11,28
Cofag,2022-07-12,0
Kredite,2022-04-14,46
Kredite,2022-04-15,24
Kredite,2022-04-16,0
Kredite,2022-04-17,0
Kredite,2022-04-18,25
Kredite,2022-04-19,57
Kredite,2022-04-20,41
Kredite,2022-04-21,87
Kredite,2022-04-22,44
Kredite,2022-04-23,27
Kredite,2022-04-24,75
Kredite,2022-04-25,41
Kredite,2022-04-26,0
Kredite,2022-04-27,20
Kredite,2022-04-28,64
Kredite,2022-04-29,49
Kredite,2022-04-30,0
Kredite,2022-05-01,77
Kredite,2022-05-02,0
Kredite,2022-05-03,0
Kredite,2022-05-04,42
Kredite,2022-05-05,82
Kredite,2022-05-06,44
Kredite,2022-05-07,0
Kredite,2022-05-08,0
Kredite,2022-05-09,0
Kredite,2022-05-10,83
Kredite,2022-05-11,91
Kredite,2022-05-12,90
Kredite,2022-05-13,23
Kredite,2022-05-14,0
Kredite,2022-05-15,0
Kredite,2022-05-16,20
Kredite,2022-05-17,59
Kredite,2022-05-18,42
Kredite,2022-05-19,0
Kredite,2022-05-20,88
Kredite,2022-05-21,27
Kredite,2022-05-22,28
Kredite,2022-05-23,0
Kredite,2022-05-24,42
Kredite,2022-05-25,21
Kredite,2022-05-26,27
Kredite,2022-05-27,50
Kredite,2022-05-28,0
Kredite,2022-05-29,50
Kredite,2022-05-30,20
Kredite,2022-05-31,21
Kredite,2022-06-01,43
Kredite,2022-06-02,43
Kredite,2022-06-03,47
Kredite,2022-06-04,0
Kredite,2022-06-05,0
Kredite,2022-06-06,0
Kredite,2022-06-07,100
Kredite,2022-06-08,21
Kredite,2022-06-09,81
Kredite,2022-06-10,45
Kredite,2022-06-11,92
Kredite,2022-06-12,29
Kredite,2022-06-13,61
Kredite,2022-06-14,65
Kredite,2022-06-15,0
Kredite,2022-06-16,26
Kredite,2022-06-17,77
Kredite,2022-06-18,0
Kredite,2022-06-19,29
Kredite,2022-06-20,62
Kredite,2022-06-21,21
Kredite,2022-06-22,21
Kredite,2022-06-23,0
Kredite,2022-06-24,46
Kredite,2022-06-25,57
Kredite,2022-06-26,0
Kredite,2022-06-27,42
Kredite,2022-06-28,64
Kredite,2022-06-29,42
Kredite,2022-06-30,0
Kredite,2022-07-01,0
Kredite,2022-07-02,30
Kredite,2022-07-03,28
Kredite,2022-07-04,83
Kredite,2022-07-05,63
Kredite,2022-07-06,45
Kredite,2022-07-07,22
Kredite,2022-07-08,47
Kredite,2022-07-09,0
Kredite,2022-07-10,27
Kredite,2022-07-11,91
Kredite,2022-07-12,0
Inzidenz,2022-04-14,69
Inzidenz,2022-04-15,58
Inzidenz,2022-04-16,60
Inzidenz,2022-04-17,56
Inzidenz,2022-04-18,69
Inzidenz,2022-04-19,72
Inzidenz,2022-04-20,66
Inzidenz,2022-04-21,77
Inzidenz,2022-04-22,48
Inzidenz,2022-04-23,29
Inzidenz,2022-04-24,14
Inzidenz,2022-04-25,39
Inzidenz,2022-04-26,33
Inzidenz,2022-04-27,38
Inzidenz,2022-04-28,29
Inzidenz,2022-04-29,100
Inzidenz,2022-04-30,48
Inzidenz,2022-05-01,49
Inzidenz,2022-05-02,55
Inzidenz,2022-05-03,39
Inzidenz,2022-05-04,23
Inzidenz,2022-05-05,45
Inzidenz,2022-05-06,18
Inzidenz,2022-05-07,14
Inzidenz,2022-05-08,29
Inzidenz,2022-05-09,28
Inzidenz,2022-05-10,34
Inzidenz,2022-05-11,12
Inzidenz,2022-05-12,37
Inzidenz,2022-05-13,19
Inzidenz,2022-05-14,48
Inzidenz,2022-05-15,31
Inzidenz,2022-05-16,28
Inzidenz,2022-05-17,32
Inzidenz,2022-05-18,74
Inzidenz,2022-05-19,53
Inzidenz,2022-05-20,30
Inzidenz,2022-05-21,22
Inzidenz,2022-05-22,37
Inzidenz,2022-05-23,62
Inzidenz,2022-05-24,34
Inzidenz,2022-05-25,23
Inzidenz,2022-05-26,7
Inzidenz,2022-05-27,68
Inzidenz,2022-05-28,30
Inzidenz,2022-05-29,41
Inzidenz,2022-05-30,49
Inzidenz,2022-05-31,40
Inzidenz,2022-06-01,29
Inzidenz,2022-06-02,18
Inzidenz,2022-06-03,25
Inzidenz,2022-06-04,32
Inzidenz,2022-06-05,23
Inzidenz,2022-06-06,21
Inzidenz,2022-06-07,43
Inzidenz,2022-06-08,29
Inzidenz,2022-06-09,66
Inzidenz,2022-06-10,30
Inzidenz,2022-06-11,33
Inzidenz,2022-06-12,16
Inzidenz,2022-06-13,50
Inzidenz,2022-06-14,41
Inzidenz,2022-06-15,43
Inzidenz,2022-06-16,35
Inzidenz,2022-06-17,35
Inzidenz,2022-06-18,42
Inzidenz,2022-06-19,47
Inzidenz,2022-06-20,34
Inzidenz,2022-06-21,23
Inzidenz,2022-06-22,46
Inzidenz,2022-06-23,24
Inzidenz,2022-06-24,44
Inzidenz,2022-06-25,23
Inzidenz,2022-06-26,70
Inzidenz,2022-06-27,46
Inzidenz,2022-06-28,40
Inzidenz,2022-06-29,29
Inzidenz,2022-06-30,43
Inzidenz,2022-07-01,50
Inzidenz,2022-07-02,8
Inzidenz,2022-07-03,31
Inzidenz,2022-07-04,22
Inzidenz,2022-07-05,29
Inzidenz,2022-07-06,24
Inzidenz,2022-07-07,53
Inzidenz,2022-07-08,19
Inzidenz,2022-07-09,39
Inzidenz,2022-07-10,51
Inzidenz,2022-07-11,33
Inzidenz,2022-07-12,0
Coronafälle,2022-04-14,65
Coronafälle,2022-04-15,22
Coronafälle,2022-04-16,26
Coronafälle,2022-04-17,28
Coronafälle,2022-04-18,72
Coronafälle,2022-04-19,0
Coronafälle,2022-04-20,57
Coronafälle,2022-04-21,82
Coronafälle,2022-04-22,41
Coronafälle,2022-04-23,0
Coronafälle,2022-04-24,47
Coronafälle,2022-04-25,19
Coronafälle,2022-04-26,39
Coronafälle,2022-04-27,0
Coronafälle,2022-04-28,20
Coronafälle,2022-04-29,46
Coronafälle,2022-04-30,28
Coronafälle,2022-05-01,0
Coronafälle,2022-05-02,38
Coronafälle,2022-05-03,0
Coronafälle,2022-05-04,20
Coronafälle,2022-05-05,19
Coronafälle,2022-05-06,0
Coronafälle,2022-05-07,0
Coronafälle,2022-05-08,25
Coronafälle,2022-05-09,59
Coronafälle,2022-05-10,0
Coronafälle,2022-05-11,21
Coronafälle,2022-05-12,0
Coronafälle,2022-05-13,43
Coronafälle,2022-05-14,28
Coronafälle,2022-05-15,0
Coronafälle,2022-05-16,0
Coronafälle,2022-05-17,0
Coronafälle,2022-05-18,20
Coronafälle,2022-05-19,20
Coronafälle,2022-05-20,21
Coronafälle,2022-05-21,25
Coronafälle,2022-05-22,52
Coronafälle,2022-05-23,0
Coronafälle,2022-05-24,0
Coronafälle,2022-05-25,40
Coronafälle,2022-05-26,25
Coronafälle,2022-05-27,47
Coronafälle,2022-05-28,0
Coronafälle,2022-05-29,0
Coronafälle,2022-05-30,19
Coronafälle,2022-05-31,20
Coronafälle,2022-06-01,0
Coronafälle,2022-06-02,0
Coronafälle,2022-06-03,44
Coronafälle,2022-06-04,0
Coronafälle,2022-06-05,0
Coronafälle,2022-06-06,0
Coronafälle,2022-06-07,38
Coronafälle,2022-06-08,0
Coronafälle,2022-06-09,19
Coronafälle,2022-06-10,0
Coronafälle,2022-06-11,0
Coronafälle,2022-06-12,0
Coronafälle,2022-06-13,0
Coronafälle,2022-06-14,0
Coronafälle,2022-06-15,0
Coronafälle,2022-06-16,24
Coronafälle,2022-06-17,24
Coronafälle,2022-06-18,0
Coronafälle,2022-06-19,81
Coronafälle,2022-06-20,20
Coronafälle,2022-06-21,0
Coronafälle,2022-06-22,20
Coronafälle,2022-06-23,0
Coronafälle,2022-06-24,0
Coronafälle,2022-06-25,54
Coronafälle,2022-06-26,81
Coronafälle,2022-06-27,80
Coronafälle,2022-06-28,100
Coronafälle,2022-06-29,20
Coronafälle,2022-06-30,21
Coronafälle,2022-07-01,22
Coronafälle,2022-07-02,57
Coronafälle,2022-07-03,53
Coronafälle,2022-07-04,39
Coronafälle,2022-07-05,40
Coronafälle,2022-07-06,21
Coronafälle,2022-07-07,61
Coronafälle,2022-07-08,22
Coronafälle,2022-07-09,0
Coronafälle,2022-07-10,51
Coronafälle,2022-07-11,28
Coronafälle,2022-07-12,0
